CMSID,AuthorityCode,OriginalVersion,OrginalLinkID,ChangeType,ChangeReason,ChangeAttribute,LinkID,Links
CMS-42-0090-100-01,THB,19.05.1,3000900110060G,道路新增,道路分段,,"['3000900110060G', '3000900110161G']","[{'LinkID': '3000900110060G', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}, {'LinkID': '3000900110161G', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-42-0090-101-01,THB,19.05.1,3000900110060G,道路新增,道路分段,,"['3000900110060G', '3000900110161G']","[{'LinkID': '3000900110060G', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'NW', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}, {'LinkID': '3000900110161G', 'RoadID': '300090', 'RoadName': '台9線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'W', 'Version': '19.12.1', 'UpdateDate': '2019-12-20'}]"
CMS-13-0310-006-01,THB,20.07.1,3003100000575H,道路刪除,道路分段,,['3003100000575H'],"[{'LinkID': '3003100000575H', 'RoadID': '300310', 'RoadName': '台31線', 'RoadClass': 3, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '20.10.1', 'UpdateDate': '2020-10-20'}]"
CMS-12-0640-000-01,THB,20.10.2,3001500100984F,道路新增,錯誤修正,,['3001500100987F'],"[{'LinkID': '3001500100987F', 'RoadID': '300150', 'RoadName': '台15線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'SE', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CMS-12-0640-000-02,THB,20.10.2,3001500100984F,道路新增,錯誤修正,,['3001500100987F'],"[{'LinkID': '3001500100987F', 'RoadID': '300150', 'RoadName': '台15線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'SE', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CMS-12-0640-001-02,THB,20.10.2,3001500100984F,道路新增,錯誤修正,,['3001500100987F'],"[{'LinkID': '3001500100987F', 'RoadID': '300150', 'RoadName': '台15線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'SE', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CMS-15-0040-027-01,THB,20.10.2,3000300103790H,道路新增,錯誤修正,,['3000300103787H'],"[{'LinkID': '3000300103787H', 'RoadID': '300030', 'RoadName': '台3線', 'RoadClass': 3, 'RoadDirection': 'N', 'RoadDirectionID': '1', 'Bearing': 'SW', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CMS-25-008A-011-01,THB,20.10.2,3000800001081B,道路新增,修改路名,,['30008A0004947B'],"[{'LinkID': '30008A0004947B', 'RoadID': '30008A', 'RoadName': '台8線臨37便道', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'NE', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CMS-25-008A-011-02,THB,20.10.2,3000800001081B,道路新增,修改路名,,['30008A0004947B'],"[{'LinkID': '30008A0004947B', 'RoadID': '30008A', 'RoadName': '台8線臨37便道', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'NE', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CMS-25-008A-017-01,THB,20.10.2,3000800001682B,道路新增,修改路名,,['30008A0005547B'],"[{'LinkID': '30008A0005547B', 'RoadID': '30008A', 'RoadName': '台8線臨37便道', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'NE', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CMS-31-0220-015-01,THB,20.10.2,3002200001497E,道路異動,錯誤修正,"EndMile,MileLength",['3002200001497E'],"[{'LinkID': '3002200001497E', 'RoadID': '300220', 'RoadName': '台22線', 'RoadClass': 3, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'E', 'Version': '21.08.1', 'UpdateDate': '2021-08-13'}]"
CMS-12-0610-001-01,THB,21.08.1,1006110000150F,道路新增,修改路名,,['1006100000150F'],"[{'LinkID': '1006100000150F', 'RoadID': '100610', 'RoadName': '臺61線', 'RoadClass': 1, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '22.02.1', 'UpdateDate': '2022-02-15'}]"
CMS-T74-E-20.230-M,THB,22.02.1,1007400002000B,道路新增,道路分段,,['1007400002033B'],"[{'LinkID': '1007400002033B', 'RoadID': '100740', 'RoadName': '台74線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '22.09.1', 'UpdateDate': '2022-09-28'}]"
CMS-12-0610-001-01,THB,22.02.1,1006100000150F,道路新增,里程異動大全路段重編/路型改變,,['1006100000563F'],"[{'LinkID': '1006100000563F', 'RoadID': '100610', 'RoadName': '台61線', 'RoadClass': 1, 'RoadDirection': 'S', 'RoadDirectionID': '0', 'Bearing': 'SW', 'Version': '22.09.1', 'UpdateDate': '2022-09-28'}]"
CMS-12-0640-001-01,THB,22.02.1,1006400000000F,道路新增,道路分段,,['1006400000000F'],"[{'LinkID': '1006400000000F', 'RoadID': '100640', 'RoadName': '台64線', 'RoadClass': 1, 'RoadDirection': 'E', 'RoadDirectionID': '0', 'Bearing': 'SE', 'Version': '22.09.1', 'UpdateDate': '2022-09-28'}]"
