ScenicSpotID,ScenicSpotName,DescriptionDetail,Description,Phone,Address,OpenTime,Picture,Position,ParkingPosition,City,SrcUpdateTime,UpdateTime
C1_315081200H_000006,峨眉湖,峨眉湖位於新竹縣峨眉鄉富興村與湖光村交接處，本體其實為第一座國人自行設計興建的水庫，稱大埔水庫，主要是供應灌溉及工業用水，也有防洪功能。2000年內政部解除水庫保護令遂讓峨眉湖開始發展觀光。 來到峨眉湖，首先映入眼簾的除了廣闊湖面，還有環湖步道，若要欣賞各種角度的湖畔之美，不妨走上一圈。步道全長3.5公里，只走前半段的峨眉湖步道則只有約1公里，且這1公里的步道藏有慷慨與巧思，改建過的峨眉湖步道能完工要多虧當地仕紳余錦奎伯伯的無償提供，也因此這段步道設有一段「徐伯伯的橋」，橋下的3D彩繪溪流栩栩如生，宛如流水正汨汨而去，溪上還有油桐花、蓮花荷葉點綴。繼續沿著湖畔走，沿途琳瑯滿目的水岸植物彷彿生態教室，配合一旁的解說牌，讓遊客寓教於樂。另外，遊客也能發現水面一大片翠綠的布袋蓮，這景觀固然美麗，但也令人擔憂外來種植物對原生種的侵害，國人須以此為警惕，維護我們的自然環境。 走著走著便會看到另一個峨眉湖知名景點&mdash;&mdash;細茅埔吊橋，原先橫跨峨眉湖的吊橋有五座，方便附近居民往來，如今只剩下細茅埔吊橋連接十二寮休閒園區與富興老街。細茅埔吊橋橋身能承重五十人，橋塔有著桐花的裝飾，佇立其上兩邊都能欣賞湖上風光，隨著時間與天氣對湖面造成的變化，可謂有著千百種景致。,峨眉湖位於新竹縣峨眉鄉富興村與湖光村交接處，本體其實為第一座國人自行設計興建的水庫，稱大埔水庫，主要是供應灌溉及工業用水，也有防洪功能。2000年內政部解除水庫保護令遂讓峨眉湖開始發展觀光。 來到峨眉湖，首先映入眼簾的除了廣闊湖面，還有環湖步道，若要欣賞各種角度的湖畔之美，不妨走上一圈。步道全長3.5公里，只走前半段的峨眉湖步道則只有約1公里，且這1公里的步道藏有慷慨與巧思，改建過的峨眉湖,886-3-5800116,315台灣新竹縣峨眉鄉湖光村,全天,"{'PictureUrl1': 'https://www.trimt-nsa.gov.tw/Content/Uploads/StrollArea/Detail/543a47a4-30e6-4165-8057-7ab0edb366d2_thumb.png', 'PictureDescription1': '峨眉湖'}","{'PositionLon': 120.98529815673828, 'PositionLat': 24.679859161376953, 'GeoHash': 'wsqh3hff9'}",{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000074,竹東之心‧竹東火車a站旅遊服務中心,位於竹東市區，東林路底的竹東火車站旁的「竹東之心」附設的「新竹縣旅遊服務中心」，在這裡除了可提供遊客旅遊諮詢服務並蒐集旅遊資訊外，也是個極佳短暫休憩場所，優雅的庭園綠樹、簡潔且多功能性的建築令人備感舒暢。竹東之心廣場在偶像劇《海派甜心》中入鏡，吸引不少戲迷專程來找尋劇中的火車車廂玩具店。竹東之心作為新竹縣旅遊服務中心，有著車站轉運中心的地利之便，以寬闊的廣場作為整合旅遊資源的平台，志工們在此與遊客們分享新竹縣的旅遊資源。,886-3-5943926,新竹縣竹東鎮東林路194巷7號,1.中山高新竹交流道下→接122號線道往竹東方向→竹東火車站。2.國道3號北二高竹林交流道下→接120號道路往竹東方向→竹林大橋→左轉接122號道→竹東火車站。,未提供,{},"{'PositionLon': 121.09500122070312, 'PositionLat': 24.73819923400879, 'GeoHash': 'wsqhex6wq'}",觀光工廠類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000075,鄧雨賢音樂文化紀念園區,精通樂曲的「台灣歌謠之父」鄧雨賢，於1906年生於龍潭，1940年遷至芎林，1944年與世長辭，得年39歲。他創作歌曲無數，如「望春風」、「雨夜花」等名曲，至今仍傳唱不歇，地方為感念他，特興建音樂文化公園。鄧雨賢的曾祖父鄧兆熊是前清的秀才，住在芎林鄉，為文林閣的創始人，寺內佈置鄧雨賢的書面紀念展示等，若想更了解其人其作，亦可移駕文林閣參觀。新竹對於一代音樂家致意的方式，則是設立「鄧雨賢音樂文化紀念園區」。位於新竹縣芎林鄉文山路131巷附近、新竹121縣道8公里處的園區，本來是國軍807野戰醫院，部隊撤離後曾荒廢一段時日。占地五千坪的音樂文化園區在民國93年動工，隔年完工，300坪的露天音樂舞台與紀念亭鄧雨賢老照片、手稿圖檔是園區的焦點。1500公尺的環園棧道，引領訪客欣賞參天松林、夫疏花木。民國94年起，鄧雨賢紀念音樂會的樂音就在此綿延繚繞。自然與人文結合公園已逐步社區化，平日則成為附近居民散步休憩的好去處。鄧雨賢短暫一生的豐富創作，在長孫鄧泰超的心目中，堪稱為最佳族群融合劑，貼近並撫慰不同族群的心靈。他覺得，祖父被稱為「台灣歌謠之父」也好、「台灣佛斯特」也罷，他的作品已變成全民共享、無形但又無所不的無價文化資產。,886-3-5921135,新竹縣芎林鄉文山路131巷,1.北二高芎林交流道下→竹東→120線道左轉至文林閣前文山路右轉直行一公里。 2.68快速道路芎林交流道，匝道下直行→芎林衛生所右轉至文林閣左轉文山路直行約一公里。,24 小時營業,{},"{'PositionLon': 121.0770034790039, 'PositionLat': 24.778099060058594, 'GeoHash': 'wsqhgntwf'}",觀光工廠類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000076,老湖口天主堂文化館,老湖口天主堂建於民國48年，由義大利籍的滿思謙神父籌建，主體是一棟鋼筋混凝土造的建築，建築體抬高於小丘上，正面施以垂直分割線條，更襯托出教堂的神聖與崇高。大門平台下與兩道階梯中間，形成類似壁龕的空間，巧妙地奉置一尊聖母像，形成教堂的焦點。天主堂隨著老街的凋零，也曾經荒廢過一段時間，在經過多方的努力之下，教會同意變更老湖口天主堂的用途，並予整修再利用，除了主體建築之外，神父宿舍也改為社區中心，老湖口天主堂也將會與老湖口及老街等地區更為結合。,886-3-5695963,新竹縣湖口鄉湖口老街108號,中山高速公路竹北交流道下，走光明六路經新竹縣政府後右轉縣政九路（台灣銀行與家樂福交叉口)， 再前行可達,10:00-17:00 (週二公休),{},"{'PositionLon': 121.05500030517578, 'PositionLat': 24.87660026550293, 'GeoHash': 'wsqjd8ts9'}",文化類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000077,漫畫藝文廣場,位於新埔鎮旱坑里柿餅專業區內的新埔公園,886-3-5882078,新竹縣新埔鎮旱坑里柿餅專業區內,國道3號關西交流道下→循118縣道往新埔鎮市區方向→於中正路天主堂前岔路右轉民生路接旱生路即可抵達。,24 小時營業,{},"{'PositionLon': 121.08200073242188, 'PositionLat': 24.838300704956055, 'GeoHash': 'wsqj739jx'}",觀光工廠類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000078,小叮噹科學主題樂園,79年1月開始營運的小叮噹科學股份有限公司，成立初期的公司名稱為新生地育樂股份有限公司。當時是由多位熱心科學教育的股東集資，在新豐鄉上坑村松柏嶺上，建構一個以科學教育為主題的戶外遊樂園區，與新竹科學園區相互輝映，希望能為台灣科學教育的紮根工作盡一份心力。園區最早期取名為新豐育樂大觀園，後來更名為小叮噹科學遊樂區，使其名號更為響亮，也一直沿用至今。&nbsp;小叮噹科學主題樂園，一直堅持以科學主題為設計方向，提供給國人另一種渡假知的享受，並成為國民教育自然科學之唯一戶外實驗教室。本公司也因為以上的堅持理念與竭誠服務大眾的信念，所以至今連續 19年榮獲交通部觀光局評鑑為「特優等」之風景遊樂區；相信這是對本公司最大的鼓勵。,886-3-5592132,新竹縣新豐鄉松柏村康和路199號,.搭乘客運至新竹縱貫路線(1號省道)明新科技大學站下車→轉搭計程車或步行即可抵達。,09:00-17:00,{},"{'PositionLon': 120.9800033569336, 'PositionLat': 24.869699478149414, 'GeoHash': 'wsqj2zquq'}",遊憩類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000079,幻多奇另類博物館,位於橫山鄉內灣風景區的「幻多奇博物館」，陳列負責人徐孟光收藏多年的展品，包括4隻腳的鰻魚、世界上面額最大的鈔票、會說話的白烏鴉、豬鼻龜等，可寓教於樂，適合親子同行。,886-3-5849706,新竹縣橫山鄉中正路223號,國道3號關西交流道出口下交流道，朝關西/新埔前進→正義路/118縣道向左轉→明德路/118縣道向左轉→中豐路一段/118縣道向右轉→中豐公路/台3線向右轉 繼續沿著台3線前進→中山街一段/120縣道向左轉→中正路口向左轉→目的地,平日：10:00-18:00／假日：09:00-19:00,{},"{'PositionLon': 121.18199920654297, 'PositionLat': 24.70560073852539, 'GeoHash': 'wsqht9d09'}",觀光工廠類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000080,好客好品希望工場,好客好品希望工場內灣小鎮在日據時代因木業、礦業而繁榮興盛，各式商業林立，風華一時，好不風光。而今在內灣戲院播放著一部部的老電影彷彿也在和我們訴說舊日內灣的點滴，一列列進站的內灣小火車，更象徵一段段內灣興衰的歷史與文化。好客好品希望工場2014年成立於內灣，全新的年代我們帶著全新的客家精神，努力將新客家文化在內灣發揚並延續到下個世代。本館是內灣的一座新型文化創意園區，朝藝術村方向融展出新世代生活及無限可能的特殊樣貌。,886-3-5849569,新竹縣橫山鄉內灣村內灣139-1號,國3號關西交流道出口下交流道，朝關西/新埔前進 →正義路/118縣道向左轉 → 明德路/118縣道向左轉 →中豐路一段/118縣道向右轉 →中豐公路/台3線向右轉繼續沿著台3線前進 →中山街一段/120縣道向左轉 繼續沿著120縣道前進 →目的地,10:00-17:00（週二公休）,{},"{'PositionLon': 121.18299865722656, 'PositionLat': 24.70560073852539, 'GeoHash': 'wsqht9db8'}",觀光工廠類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000081,六福村主題遊樂園,亞洲第一座結合動物園與遊樂園的夢想王國位於新竹縣關西鎮的六福村主題遊樂園，園內有四大主題村：魔幻神奇的「阿伯皇宮」、狂野飆悍的「美國大西部」、熱帶島嶼風情的「南太平洋」以及近距離觀察原始動物的「非洲部落」，喜好挑戰刺激及探訪動物生態的您絕對不能錯過，體驗真實與夢想交織的歡樂王國盡在六福村！阿拉伯皇宮37座以伊斯蘭式圓頂尖塔組成金碧輝煌的「阿拉伯皇宮」，天方夜譚中的傳說都在此化為各項神奇好玩的遊樂設施，神秘夢幻的冒險之旅即將展開囉！美國大西部十九世界美國西部拓荒採礦小鎮－墓碑鎮原景重現，仿若回到西部拓荒電影，每個角落及建築物都充斥著美國西部復古懷舊風味，絕對是你不可錯過的英雄場面喔！南太平洋熱帶風情的棕梠樹、熱情奔放的音樂、神秘的土著石雕以及巨大的火山懸崖，彷彿來到了浪漫多情的熱帶島嶼，滿溢著一股慵懶而熱情的南國風情。非洲部落全台唯一放養式野生動物園，包括約70種、近千頭動物，開放式設計讓動物可以自由的在寬廣的草原上奔跑，遊客更可以在獨特的非洲部落，輕鬆愉快地近距離觀賞野生動物生態。,886-3-5475665,新竹縣關西鎮仁安里拱子溝60號,新竹客運→可在中壢、龍潭或新竹火車站搭乘往六福村之直達車。(台北、桃園、中壢、新竹均有直達六福村的客運班車),9：30~17：00,{},"{'PositionLon': 121.18099975585938, 'PositionLat': 24.825199127197266, 'GeoHash': 'wsqjjx333'}",遊憩類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000082,金廣成文化館,本館原為仁和國小，因人口外流而廢校20年後在文建會&ldquo;閒置空間再利用&rdquo;下於民國92年修繕完成，為了紀念先民&ldquo;金廣成墾號&rdquo;篳路藍縷、開疆闢土的辛勞，命名為金廣成文化館。,886-9-21178219,新竹縣關西鎮東山里11鄰四寮14-1號,北二高關西交流道下→ 118線往關西市區→ 關西高中→ 前十字路口，直行前往28線，於竹28線3.2K旁，原仁和國小舊址,假日 09:00-16:00,{},"{'PositionLon': 121.21199798583984, 'PositionLat': 24.788999557495117, 'GeoHash': 'wsqjn0xyk'}",文化類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000083,沙湖壢藝術村,循著小徑往前走，推開一扇木門，緩緩步下枕木梯，走進這個充滿藝術與神祕的空間，這裡是沙湖壢藝術村！位於寶山水庫內，日據時代興建的磚造平房正對應著湖面，得天獨厚的盡享自然美景，蒼翠樹木在湖面映照成倒影，清風吹拂，激起水面漣漪，如夢幻境。這裡瀰漫著藝術的氣習，除了提供藝術家駐村創作，也提供民眾親近藝術的管道，悠閒的午後，逛逛藝術村，觀湖賞景品啜一杯濃醇咖啡，盡情倘徉藝術、美景激盪出的靜謐與謙和的美感。除了水色、藝術，沙湖壢藝術村還有著季節限定的農村景致，永遠是新鮮上演，初冬來時有橄欖結果，春天時有櫻花展顏，五月桐花開時還有山間白雪，烈月相思樹上的黃色悸動更是惹人憐愛，秋末時節則換成清甜的柚子、楊桃熟成，四季更迭。,886-3-5760108,新竹縣寶山鄉山湖村山湖路63號,1.請由國道三號寶山交流道下高速公路，右彎接大雅路，直行右轉接園區三路、五路，右轉接寶山路，續行接水仙路，循指標往寶山水庫前進，見一商店左轉接竹40新湖路，3分鐘可以抵達。2.請由國道三號竹林交流道下高速公路，右轉接120縣道富林路三段，115縣道文德路交叉口左轉接文明路，過新中正大橋，直行至光明路交叉口左轉，直行經光明路、民族路，於中興路交叉口左轉，約300公尺右轉學府路，直行5分鐘可以抵達。,10:00~18:00（週一休）,{},"{'PositionLon': 121.04499816894531, 'PositionLat': 24.750099182128906, 'GeoHash': 'wsqhf3w7b'}",文化類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000085,濟生Beauty新竹觀光工廠,工廠導覽、健康講座、製程迴廊、膚質檢測、健康ＤＩＹ、商品體驗&nbsp;具有五十年歷史的製藥廠，高品質精神，跨足保健潮流，提供您最安心的保健食品與保養品。走一趟濟生Beauty觀光工廠，看那老字號的質樸廠房、因應生產效率而引進的自動化倉儲設備，聽一場您不可不知的健康講座，還有骨質密度、皮膚年齡實際大檢測。一趟豐富人文、知性又富饒體驗趣味的健康之旅，就在新竹湖口交流道下，歡迎您的蒞臨！&nbsp;,886-8-00213568,新竹縣湖口鄉光復路10-1號,"平日 09:00-16:00/假日 09:00-12:00,13:00-16:00",{},"{'PositionLon': 121.01799774169922, 'PositionLat': 24.871999740600586, 'GeoHash': 'wsqj3zf9g'}",觀光工廠類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000086,木酢達人,走進已多次被媒體報導的「木酢達人」店內，觀看老闆的神奇表演；看著他從木頭中萃取的木酢液，透明如水，聞起來有點木頭燒焦後的味道，卻特別能中和阿摩尼亞等異味，因此被開發成為天然的除臭、除菌成份。透過試紙酸鹼度中和的試驗，讓看官們眼見為憑。由於不含任何化學添加物，對於日益要求健康的現代人來說，木酢液儼然成為一個「平衡生態與除菌衛生」的解決方案，成為老街最「年輕」的伴手禮。,886-3-5692589,新竹縣湖口鄉中正路三段162巷16號,從國道1號的 83-湖口 號出口下交流道→走中湖路和縱貫公路/台1線前往湖口老街,09:00-17:30（週末公休）,{},"{'PositionLon': 121.05799865722656, 'PositionLat': 24.877199172973633, 'GeoHash': 'wsqjd8z8p'}",觀光工廠類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000087,石店子69有機書店,"盧文鈞承租百年老店,盡量保持老屋原貌,小屋一部分當作書店,兩側架上擺滿了書,透過以書換書的方式交流,提供旅人一處既可休憩又能安心閱讀的無壓力空間。石店子69有機書店的小閣樓現變身背包客棧而早年因為生育的多,一幢屋子總要住上十幾口人,小閣樓便是早期客家人有效利用空間的最佳典型,現在這個小閣樓功能不變,成了旅人留宿的客棧,客家老屋小而美,成了外國背包客前來尋幽探訪的私房景點。小書店不僅是書店,斑駁老舊的牆上懸掛著藝術家的畫作,除了不定期舉辦展覽之外,媽媽說故事、在地輕旅行導覽等各式活動正在這裡熱鬧上演,期盼透過藝術內化改變行為思想。Info.地址:新竹縣關西鎮中正路69號&nbsp;電話:0921-743-789時間:平日 13:00 ~ 19:00、假日 10:00 ~19:00(週一休)/背包客 check in 時間請事先聯絡",886-9-21743789,新竹縣關西鎮中正路69號,1820國光客運竹東站 → 關西鎮公所,10:00-18:00,{},"{'PositionLon': 121.1760025024414, 'PositionLat': 24.788999557495117, 'GeoHash': 'wsqjj2twm'}",觀光工廠類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000088,魯壁一家人,如夢如詩如畫 人間自是有仙境&nbsp;&nbsp;&nbsp; 「有這麼深山嗎？會不會走錯路了？」從最遠的「魯壁山莊」開始探訪是我們的選擇，只不過海拔才8百多公尺的尖石鄉，車行曲折蜿蜒的山道小路上，卻感覺有如重山峻嶺般地漫長與孤寂。&nbsp;&nbsp;&nbsp; 不用懷疑，就是因為有了艱辛的路程，才會顯現出人間仙境的彌足珍貴，「魯壁山莊」映入眼簾的那一剎那，真是驚呆啦！究竟是身處夢境還是置身畫裡已無從分辨，推門而入，迎來的是四姊妹中的三姑娘阿順尤敏，她有雙美麗的眸子，透澈清亮，典型的泰雅美女，她的熱情好客令人精神為之一振，所有上山時的煩躁與焦慮全一掃而空。&nbsp;&nbsp;&nbsp; 由庭園遠眺群山，其西邊為南寮山，中間為大霸尖山，東邊則為南湖群山，山腳下的馬里光溪流經其間，是尖石最大的水源區。魯壁是泰雅族的地名，得天獨厚的坐落在這一片山清水秀的好風好水上。&nbsp;&nbsp;&nbsp; 喔，美麗的尤蘇拉地，再會啦！千山我獨行，不必相送。,886-3-5847203,新竹縣尖石鄉1鄰6號,走國道3號前往關西鎮的正義路/118縣道→從國道3號的 79-關西 號出口下交流道→走中豐公路/內山公路/台3線和120縣道前往尖石鄉的錦屏後山產業道路/竹60鄉道,平日10:00-17:00，假日10:00-19:00,{},"{'PositionLon': 121.30000305175781, 'PositionLat': 24.65999984741211, 'GeoHash': 'wsqk21pyy'}",觀光工廠類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000089,蕃薯伯焢窯,離開小說描寫的中原田野，其實焢窯在臺灣鄉間也很盛行。昔時莊稼秋收後，就是焢窯活動熱絡時。一方面秋收後農家比較空閒，而且稻穀收成後，只要用犁將土翻鬆，將較硬的泥塊挖出晾乾後，土質結實的土塊就可以用來造窯。雖然從前的生活水平不見得隨時供應得起土窯雞，但烤烤地瓜和玉米，總是農村兒童重要的娛樂活動。現今社會的兒童不要說焢窯的經驗，恐怕真正摸過泥巴的也沒有幾個人。還好注重休閒農業的新竹縣，有幾處可以焢窯的農場，讓長者可以重溫兒時的經驗，而少者可以親近土地，建立屬於他們的焢窯的在Google的搜尋引擎打上「焢窯」兩個字，北埔的蕃薯伯焢窯就出現在網頁最上方。沒錯，北埔竹語茶蘆蕃薯伯焢窯除了歷史悠久外，也因為設施完善、服務貼心而廣受好評。許多遊客都在自己的網站上張貼到此焢窯的經驗難怪它在搜尋引擎上會名列前矛。北埔竹語茶蘆位在北埔鎮的南埔村，從臺三線往南駛，過了熱鬧的老街聚落和大坪溪後，就是閒逸安適、充滿農村風情的南埔村。南埔村素有黃金水鄉之稱，經過社區通力合作，這裡的水圳都被清淤修繕過，能夠源源不絕供應田地需要的活水，因此不論稻米、柑橘或蔬菜，都有極好的收成。從過了建國百年時興建的百分橋（南埔大橋）後，沿著田間道路前進。因著季節不同，路旁可以看見不同的作物。在一番農作物辨識大賽後，就來到蕃薯伯焢窯。蕃薯伯，是真有其人。他是土生土長的莊老先生，一輩子的莊稼人，一手創建這個休閒農莊。現在雖已由兒子接手，但來到農莊仍舊不時可以看到他老人家的身影。或是幫忙搗麻糬，或是幫忙看窯火，親切地招呼客人，不遺餘力。到蕃薯伯焢窯的好處之一，就是食材已經準備好，窯子也是半成品了。遊客只要負責把架了一半的土窯完成，過程中負責看著火焰，只要放入食物封了窯，就不用苦守窯爐，可以參與農莊裡的其他莊稼活動。農村裡絕對不缺的東西，就是稻草。乍看農莊的工作人員拿出來的草編關刀，遊客們都搖頭歎息：「這太難了啦！」「我做不出來啦！」但見工作人員抽出二支稻草，引誘著遊客們跟著步驟慢慢進行，只見高齡八十歲的老翁和六、七歲的稚兒，跟著全神貫注地進行，席間有人進度落後的，就會有工作人員立刻從旁協助。結構看似複雜的關刀，其實不過半個小時就人手一把。孩子們高興地比劃了起來，像極了《童年》歌中擔憂著「諸葛四郎和魔鬼黨到底是誰搶到那支寶劍」的那個年代的孩童。做完關刀，&nbsp;&nbsp; &nbsp;另一邊的空地上，工作人員又在喲喝著大家一起來編稻草人。兩把稻草，一把是上半身，一把是裙擺或褲子，加上遊客自己身上的配件，頭頂花草帽、戴著太陽眼鏡、手掛名牌包的現代版稻草人，就這樣一個個趕赴這場田野間的宴會，好不熱鬧。如果人數足夠，還可以坐上牛車逛大街，或是進行農事體驗闖關，絕對讓大家在享用美食之餘，充分體驗農事的樂趣。另外一提，農莊對面的錦繡堂，是蕃薯伯的莊姓祖先在1882年所興建，讓人嘖嘖稱奇的是，這宅第所用的木材，全部出自同一棵樟木，很難想像到底是多大的巨木，才有辦法完成這樣的任務。有興趣的遊客不妨前往參觀這兼具歷史價值和建築美感的古厝。,886-3-5801096,新竹縣北埔鄉南埔村 38 號,沿國道3號前往寶山鄉的大雅路二段/寶山交流道聯絡道路。從國道3號的 98-寶山 號出口下交流道→走大坪路、寶山路二段、寶山路一段、中大壢路和竹45鄉道前往目的地北埔鄉,09:00-17:00,{},"{'PositionLon': 121.04199981689453, 'PositionLat': 24.69219970703125, 'GeoHash': 'wsqh6rh47'}",觀光工廠類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000090,木炭之家,在寶山鄉峰城路和新湖路交叉口附近有這麼一處人家，長年都冒著炊煙，經過的車輛若是好奇停了下來，一定會被樹下乘涼的人招徠。或是邀你吃顆自家種的橘子，或是熱情地解說碩果僅存的古法製炭。這裡是木炭的家，八年前由李家父子重新造窯，為的就是不希望老產業斷了炊，他們要用古人的方法，製作出品質最好的木炭來。用時間淬煉品質十年前由臺北返回家鄉的李永興，有莊稼人健壯的體格。他說自己從小看著爺爺和叔伯們燒製木炭，那種農忙之餘，還要一年四季守著炭窯的日子，就是他們生活的寫照。後來因為生活的進步，木炭的使用量變少，加上進口低價木炭的競爭，炭窯只得走上歇業的命運。還好寶山鄉的李前鄉長想要復興這項技藝，而李永興又不甘心爺爺叔伯們的手藝斷炊，因此在父親李盛華的技術指導以及鄉公所的經費支持下，他讓炭窯戴上了手編的「草帽」，將山上砍來的相思樹一根根密密地排進了窯室裡，然後再用同樣來自山林的樟木為柴薪，重新點燃木炭的家的招牌。不甘心，這三個字說來容易，但扛起來卻非易事。李永興說，還好自己的孩子們都大了，經濟壓力比較沒那麼大，否則燒木炭、賣木炭，根本就賺不了錢。從山上伐木開始，再加上整理柴薪、堆進窯內，光是前置作業就得花上十天左右。燒製木炭也需要20至25天，再加上封窯後要15至20天才能完全冷卻（萬一時間沒拿準，提前開窯，未冷卻的木炭一遇到空氣，就會立刻燃燒成灰），可以出售。這樣前後加起來，最快也要一個半月的時間。但入窯時兩萬多斤的相思木，變成木炭時只剩下六千斤，一斤售價20元，真的是只賺了工錢而已。若不是那「不甘心」的使命感，誰能撐得下去？到木炭的家「當黑人」木炭每每選在凌晨兩、三點開窯，因為即便是冬天，剛剛打開的窯室仍舊十分溫熱，把木炭搬出來的粗活，做不了多久就大汗淋漓。再加上木炭黝黑，不一會兒大家都成了黑人。只見粗壯如男人大腿的木炭一根根被搬出來，由於燒製的時間長，因此碳化完全，這裡的木炭既無煙又耐燒，識貨的買家早就在一旁等著了。對於木炭製作有興趣的朋友，不妨去電詢問開窯時間。畢竟經驗難得，每每吸引了許多攝影愛好者前來，一起幫忙搬木炭，「當黑人」。順道一提，本刊出版時，時值農曆年，正是年柑、椪柑盛產的時候。李盛華老先生種植的柑橘類作物，可都是得過獎的。而開窯，就是收成的時刻。不論是來當黑人，或是來採柑橘，這個新年，到木炭的家都會有不同凡響的收穫！,886-9-31150826,新竹縣寶山鄉峰城路8巷,走國道3號前往寶山鄉的三峰路二段/竹43鄉道。從國道3號的 98-寶山 號出口下交流道→繼續走竹43鄉道。開到峰城路8巷,未提供,{},"{'PositionLon': 120.99299621582031, 'PositionLat': 24.723499298095703, 'GeoHash': 'wsqh9kb2v'}",觀光工廠類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000091,蓮花寺步道,「蓮花寺環山步道」為第一環狀步道位於新豐鄉與竹北市濱海公路交界處步道系統採枕木構造為主，途經粘質壤土，植生被覆茂盛區、荔枝園區，兩側遍植桂花巷，溝新宜人。輔以棧橋休憩觀景設施，登頂更能遠眺台灣海峽。由於鳳鼻山西端突出台灣海峽，山的末端好像鳳鼻，俗稱「鳳鼻尾」，海濱風景極佳。每當夕陽西下，紅霞和山色掩映，加以綠樹圍繞，「淡水廳誌」把它列為全淡八景之一，名為「鳳崎晚霞」。&nbsp;&nbsp;,886-3-5561805,新竹縣竹北市,1.國道1號竹北交流道下→光明六路→省道台1線→省道台68線→省道台15線即可抵達。2.國道3號竹林交流道下→120縣道→→117縣道→省道台68線→省道台15線即可抵達。,24 小時營業,{},"{'PositionLon': 120.96199798583984, 'PositionLat': 24.876800537109375, 'GeoHash': 'wsqj889vf'}",自然風景類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000092,金獅(寺)步道,「金獅寺步道」因緊臨名剎「金獅寺」而聞名，位於湖口村6鄰。昔日是新埔到湖口農產品運輸之重要古道，原為羊腸小徑，經水保局第一工程所於86年6月規劃成為一排排大圓石砌成的步道。步道之景觀台更是欣賞風景最佳地點，每當晴空萬裏，向北可透過廣的桃園臺地而遠眺台灣海峽，金獅寺前更有滿坑滿穀的油桐樹，每逢春夏之交，滿樹繁花、如雪披被，非常壯觀。,886-9-81416654,新竹縣湖口鄉湖口村,中山高湖口交流道下→往湖口方向接台１號省道至老湖口→轉竹13-1縣道→往金獅寺方向即可抵達,24 小時營業,{},"{'PositionLon': 121.07099914550781, 'PositionLat': 24.872699737548828, 'GeoHash': 'wsqj7pcjy'}",自然風景類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
C1_376440000A_000094,鳳崎落日步道,步道入口位於天德堂西側，終點位於蓮花寺停車場；沿線楓香、烏桕、九芎、樟樹、山櫻花、相思樹、杜英、黑松等多樣性的植物景觀，景致豐富，美不勝收；沿路綠蔭遮蔽，清幽涼爽，適合清晨及黃昏時登山健行。登高可眺望新竹沿海景觀，西落夕陽，令人心曠神怡。,886-3-5576369,新竹縣竹北市,台鐵新竹站下→新竹客運新竹站搭乘新莊子線往新豐、新莊子班車，在明新技術學院站下車步行→康樂路→德日路即可抵達。,24 小時營業,{},"{'PositionLon': 120.97899627685547, 'PositionLat': 24.867300033569336, 'GeoHash': 'wsqj2yynw'}",自然風景類,{},新竹縣,2023-07-13T01:40:49+08:00,2023-07-13T02:10:57+08:00
