PlateNumb,OperatorID,OperatorNo,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,BusPosition,Speed,Azimuth,DutyStatus,BusStatus,MessageType,GPSTime,SrcRecTime,SrcTransTime,UpdateTime
516-U6,45,1101,THB9188,9188,"{'Zh_tw': '9188', 'En': '9188'}",THB918801,918801,"{'Zh_tw': '9188', 'En': '9188'}",0,"{'PositionLon': 120.748961666667, 'PositionLat': 21.9871266666667, 'GeoHash': 'wevv5dwsq'}",52.0,160.0,1,0,1,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:14+08:00
518-U6,34,1201,THB1610,1610,"{'Zh_tw': '1610', 'En': '1610'}",THB1610B1,1610B1,"{'Zh_tw': '1610B', 'En': '1610B'}",0,"{'PositionLon': 120.320523333333, 'PositionLat': 22.7877866666667, 'GeoHash': 'wsj99uqsr'}",96.0,165.0,0,0,1,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:13+08:00,2023-07-14T00:28:14+08:00
551-U9,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500G2,7500G2,"{'Zh_tw': '7500G', 'En': '7500G'}",1,"{'PositionLon': 120.23909, 'PositionLat': 23.18545, 'GeoHash': 'wsjebhg3j'}",0.0,124.0,1,0,1,2023-07-14T00:28:10+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:14+08:00
566-U6,34,1201,THB1610,1610,"{'Zh_tw': '1610', 'En': '1610'}",THB1610E2,1610E2,"{'Zh_tw': '1610E', 'En': '1610E'}",1,"{'PositionLon': 120.376795, 'PositionLat': 23.464685, 'GeoHash': 'wsjt7pxew'}",96.0,11.0,0,0,1,2023-07-14T00:28:11+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:14+08:00
663-U7,11,0404,THB9001,9001,"{'Zh_tw': '9001', 'En': '9001'}",THB900101,900101,"{'Zh_tw': '9001', 'En': '9001'}",0,"{'PositionLon': 121.224781666667, 'PositionLat': 24.93642, 'GeoHash': 'wsqjye91n'}",0.0,96.0,0,0,1,2023-07-14T00:28:10+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:14+08:00
727-U9,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500G1,7500G1,"{'Zh_tw': '7500G', 'En': '7500G'}",0,"{'PositionLon': 121.0559, 'PositionLat': 24.876, 'GeoHash': 'wsqjd8w1n'}",92.0,91.0,1,0,1,2023-07-14T00:28:07+08:00,2023-07-14T00:28:09+08:00,2023-07-14T00:28:09+08:00,2023-07-14T00:28:14+08:00
752-U9,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500V2,7500V2,"{'Zh_tw': '7500V', 'En': '7500V'}",1,"{'PositionLon': 120.24072, 'PositionLat': 23.18545, 'GeoHash': 'wsjebhu95'}",0.0,115.0,1,0,1,2023-07-14T00:28:08+08:00,2023-07-14T00:28:10+08:00,2023-07-14T00:28:10+08:00,2023-07-14T00:28:14+08:00
833-U5,45,1101,THB1839,1839,"{'Zh_tw': '1839', 'En': '1839'}",THB1839B2,1839B2,"{'Zh_tw': '1839B', 'En': '1839B'}",1,"{'PositionLon': 120.850238333333, 'PositionLat': 24.5678533333333, 'GeoHash': 'wsmgy02qn'}",91.0,54.0,1,0,1,2023-07-14T00:28:09+08:00,2023-07-14T00:28:09+08:00,2023-07-14T00:28:09+08:00,2023-07-14T00:28:14+08:00
873-FW,45,1101,THB1839,1839,"{'Zh_tw': '1839', 'En': '1839'}",THB1839B1,1839B1,"{'Zh_tw': '1839B', 'En': '1839B'}",0,"{'PositionLon': 120.500805, 'PositionLat': 22.6628766666667, 'GeoHash': 'wsj8yjdhb'}",9.0,0.0,2,0,1,2023-07-14T00:28:10+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:14+08:00
958-V2,28,1003,THB9117,9117,"{'Zh_tw': '9117', 'En': '9117'}",THB911701,911701,"{'Zh_tw': '9117', 'En': '9117'}",0,"{'PositionLon': 120.59304, 'PositionLat': 22.3884066666667, 'GeoHash': 'wevz25tjv'}",41.0,145.0,0,0,1,2023-07-14T00:28:11+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:14+08:00
FAB-095,45,1101,THB1838,1838,"{'Zh_tw': '1838', 'En': '1838'}",THB183801,183801,"{'Zh_tw': '1838', 'En': '1838'}",0,"{'PositionLon': 120.636466666667, 'PositionLat': 24.1705116666667, 'GeoHash': 'wsmc90hg3'}",0.0,0.0,1,0,1,2023-07-14T00:28:09+08:00,2023-07-14T00:28:09+08:00,2023-07-14T00:28:09+08:00,2023-07-14T00:28:14+08:00
FAB-217,45,1101,THB1819,1819,"{'Zh_tw': '1819', 'En': '1819'}",THB181901,181901,"{'Zh_tw': '1819', 'En': '1819'}",0,"{'PositionLon': 121.494136666667, 'PositionLat': 25.0575083333333, 'GeoHash': 'wsqqs9t6d'}",22.0,13.0,1,0,1,2023-07-14T00:28:11+08:00,2023-07-14T00:28:10+08:00,2023-07-14T00:28:10+08:00,2023-07-14T00:28:14+08:00
FAB-225,45,1101,THB1819,1819,"{'Zh_tw': '1819', 'En': '1819'}",THB181902,181902,"{'Zh_tw': '1819', 'En': '1819'}",1,"{'PositionLon': 121.234968333333, 'PositionLat': 25.0356666666667, 'GeoHash': 'wsqnqv8e7'}",72.0,105.0,1,0,1,2023-07-14T00:28:12+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:14+08:00
FAB-311,34,1201,THB1611,1611,"{'Zh_tw': '1611', 'En': '1611'}",THB1611F1,1611F1,"{'Zh_tw': '1611F', 'En': '1611F'}",0,"{'PositionLon': 120.284985, 'PositionLat': 23.3091416666667, 'GeoHash': 'wsjs95kce'}",0.0,108.0,0,0,1,2023-07-14T00:28:11+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:14+08:00
FAB-361,49,0302,THB1960,1960,"{'Zh_tw': '1960', 'En': '1960'}",THB196002,196002,"{'Zh_tw': '1960', 'En': '1960'}",1,"{'PositionLon': 121.305515, 'PositionLat': 25.041665, 'GeoHash': 'wsqq2qeyr'}",111.0,61.0,1,0,1,2023-07-14T00:28:06+08:00,2023-07-14T00:28:09+08:00,2023-07-14T00:28:10+08:00,2023-07-14T00:28:14+08:00
FAC-306,35,1308,THB1917,1917,"{'Zh_tw': '1917', 'En': '1917'}",THB191702,191702,"{'Zh_tw': '1917', 'En': '1917'}",1,"{'PositionLon': 121.779666666667, 'PositionLat': 24.676885, 'GeoHash': 'wsqs7hm1r'}",31.0,176.0,2,0,1,2023-07-14T00:28:12+08:00,2023-07-14T00:28:13+08:00,2023-07-14T00:28:13+08:00,2023-07-14T00:28:14+08:00
FAC-392,35,1308,THB1915,1915,"{'Zh_tw': '1915', 'En': '1915'}",THB1915B1,1915B1,"{'Zh_tw': '1915B', 'En': '1915B'}",0,"{'PositionLon': 121.450981666667, 'PositionLat': 24.9978333333333, 'GeoHash': 'wsqq5wtyu'}",0.0,0.0,2,0,1,2023-07-14T00:28:11+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:14+08:00
FAC-526,35,1308,THB1916,1916,"{'Zh_tw': '1916', 'En': '1916'}",THB191601,191601,"{'Zh_tw': '1916', 'En': '1916'}",0,"{'PositionLon': 121.452691666667, 'PositionLat': 25.0007, 'GeoHash': 'wsqq5xpps'}",0.0,0.0,2,0,1,2023-07-14T00:28:13+08:00,2023-07-14T00:28:13+08:00,2023-07-14T00:28:13+08:00,2023-07-14T00:28:14+08:00
FAC-531,35,1308,THB1917,1917,"{'Zh_tw': '1917', 'En': '1917'}",THB191702,191702,"{'Zh_tw': '1917', 'En': '1917'}",1,"{'PositionLon': 121.776591666667, 'PositionLat': 24.677975, 'GeoHash': 'wsqs7h7p8'}",21.0,289.0,1,0,1,2023-07-14T00:28:13+08:00,2023-07-14T00:28:13+08:00,2023-07-14T00:28:13+08:00,2023-07-14T00:28:14+08:00
KKA-0015,34,1201,THB1623,1623,"{'Zh_tw': '1623', 'En': '1623'}",THB162301,162301,"{'Zh_tw': '1623', 'En': '1623'}",0,"{'PositionLon': 120.637935, 'PositionLat': 24.1676333333333, 'GeoHash': 'wsmc3ptfe'}",0.0,208.0,0,0,1,2023-07-14T00:28:09+08:00,2023-07-14T00:28:10+08:00,2023-07-14T00:28:10+08:00,2023-07-14T00:28:14+08:00
KKA-0020,34,1201,THB1623,1623,"{'Zh_tw': '1623', 'En': '1623'}",THB162301,162301,"{'Zh_tw': '1623', 'En': '1623'}",0,"{'PositionLon': 121.022578333333, 'PositionLat': 24.8381516666667, 'GeoHash': 'wsqj3ctuw'}",96.0,1.0,0,0,1,2023-07-14T00:28:10+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:14+08:00
KKA-0819,47,1405,THB2011,2011,"{'Zh_tw': '2011', 'En': '2011'}",THB201101,201101,"{'Zh_tw': '2011', 'En': '2011'}",0,"{'PositionLon': 121.331173333333, 'PositionLat': 25.0595366666667, 'GeoHash': 'wsqq8cywm'}",97.0,225.0,0,0,1,2023-07-14T00:28:10+08:00,2023-07-14T00:28:09+08:00,2023-07-14T00:28:09+08:00,2023-07-14T00:28:14+08:00
KKA-1186,34,1201,THB1611,1611,"{'Zh_tw': '1611', 'En': '1611'}",THB161102,161102,"{'Zh_tw': '1611', 'En': '1611'}",1,"{'PositionLon': 120.622506666667, 'PositionLat': 24.1816316666667, 'GeoHash': 'wsmc8f4sh'}",9.0,206.0,0,0,1,2023-07-14T00:28:11+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:14+08:00
KKA-2571,34,1201,THB1610,1610,"{'Zh_tw': '1610', 'En': '1610'}",THB1610E2,1610E2,"{'Zh_tw': '1610E', 'En': '1610E'}",1,"{'PositionLon': 120.332546666667, 'PositionLat': 22.72017, 'GeoHash': 'wsj960p6x'}",0.0,18.0,0,0,1,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:14+08:00
KKA-2576,34,1201,THB1610,1610,"{'Zh_tw': '1610', 'En': '1610'}",THB1610E2,1610E2,"{'Zh_tw': '1610E', 'En': '1610E'}",1,"{'PositionLon': 120.782715, 'PositionLat': 24.449905, 'GeoHash': 'wsmgh6zr1'}",98.0,6.0,0,0,1,2023-07-14T00:28:11+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:14+08:00
KKA-2621,34,1201,THB1611,1611,"{'Zh_tw': '1611', 'En': '1611'}",THB1611C2,1611C2,"{'Zh_tw': '1611C', 'En': '1611C'}",1,"{'PositionLon': 121.050476666667, 'PositionLat': 24.8762816666667, 'GeoHash': 'wsqjd8d6b'}",96.0,95.0,0,0,1,2023-07-14T00:28:10+08:00,2023-07-14T00:28:10+08:00,2023-07-14T00:28:10+08:00,2023-07-14T00:28:14+08:00
KKA-3191,34,1201,THB1611,1611,"{'Zh_tw': '1611', 'En': '1611'}",THB1611D1,1611D1,"{'Zh_tw': '1611D', 'En': '1611D'}",0,"{'PositionLon': 120.523583333333, 'PositionLat': 24.0559783333333, 'GeoHash': 'wsm8ye685'}",83.0,175.0,0,0,1,2023-07-14T00:28:09+08:00,2023-07-14T00:28:10+08:00,2023-07-14T00:28:10+08:00,2023-07-14T00:28:14+08:00
KKA-7617,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500W2,7500W2,"{'Zh_tw': '7500W', 'En': '7500W'}",1,"{'PositionLon': 120.7573, 'PositionLat': 24.39159, 'GeoHash': 'wsmfgbkg3'}",99.0,211.0,1,0,1,2023-07-14T00:28:11+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:14+08:00
KKA-7699,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500J2,7500J2,"{'Zh_tw': '7500J', 'En': '7500J'}",1,"{'PositionLon': 120.49181, 'PositionLat': 23.88493, 'GeoHash': 'wsjxvu57y'}",97.0,192.0,1,0,1,2023-07-14T00:28:09+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:11+08:00,2023-07-14T00:28:14+08:00
KKA-7729,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500I1,7500I1,"{'Zh_tw': '7500I', 'En': '7500I'}",0,"{'PositionLon': 121.19394, 'PositionLat': 24.94295, 'GeoHash': 'wsqjvudxp'}",99.0,15.0,1,0,1,2023-07-14T00:28:10+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:14+08:00
KKA-7776,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500F1,7500F1,"{'Zh_tw': '7500F', 'En': '7500F'}",0,"{'PositionLon': 120.25246, 'PositionLat': 23.04647, 'GeoHash': 'wsje07mpm'}",78.0,9.0,1,0,1,2023-07-14T00:28:04+08:00,2023-07-14T00:28:10+08:00,2023-07-14T00:28:10+08:00,2023-07-14T00:28:14+08:00
KKA-7803,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500I1,7500I1,"{'Zh_tw': '7500I', 'En': '7500I'}",0,"{'PositionLon': 120.31481, 'PositionLat': 23.3421, 'GeoHash': 'wsjscc69d'}",97.0,48.0,1,0,1,2023-07-14T00:28:10+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:14+08:00
KKA-7825,25,0801,THB7505,7505,"{'Zh_tw': '7505', 'En': '7505'}",THB750501,750501,"{'Zh_tw': '7505', 'En': '7505'}",0,"{'PositionLon': 120.38487, 'PositionLat': 23.48649, 'GeoHash': 'wsjte7tdd'}",103.0,210.0,1,0,1,2023-07-14T00:28:09+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:14+08:00
KKA-7866,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500G2,7500G2,"{'Zh_tw': '7500G', 'En': '7500G'}",1,"{'PositionLon': 121.2975, 'PositionLat': 25.03773, 'GeoHash': 'wsqq2jypk'}",31.0,136.0,1,0,1,2023-07-14T00:28:12+08:00,2023-07-14T00:28:13+08:00,2023-07-14T00:28:13+08:00,2023-07-14T00:28:14+08:00
KKB-1971,34,1201,THB1610,1610,"{'Zh_tw': '1610', 'En': '1610'}",THB1610A1,1610A1,"{'Zh_tw': '1610A', 'En': '1610A'}",0,"{'PositionLon': 120.327478333333, 'PositionLat': 22.6929183333333, 'GeoHash': 'wsj9455gc'}",98.0,175.0,0,0,1,2023-07-14T00:28:11+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:14+08:00
KKB-2186,49,0302,THB1968,1968,"{'Zh_tw': '1968', 'En': '1968'}",THB196802,196802,"{'Zh_tw': '1968', 'En': '1968'}",1,"{'PositionLon': 121.234388333333, 'PositionLat': 25.0805516666667, 'GeoHash': 'wsqnwvb0v'}",36.0,230.0,1,0,1,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:12+08:00,2023-07-14T00:28:14+08:00
KKB-8707,45,1101,THB1873,1873,"{'Zh_tw': '1873', 'En': '1873'}",THB187302,187302,"{'Zh_tw': '1873', 'En': '1873'}",1,"{'PositionLon': 120.679765, 'PositionLat': 24.1381116666667, 'GeoHash': 'wsmc64hqd'}",0.0,0.0,1,0,1,2023-07-14T00:28:10+08:00,2023-07-14T00:28:09+08:00,2023-07-14T00:28:09+08:00,2023-07-14T00:28:14+08:00
069-U6,45,1101,THB1838,1838,"{'Zh_tw': '1838', 'En': '1838'}",THB183802,183802,"{'Zh_tw': '1838', 'En': '1838'}",1,"{'PositionLon': 120.783233333333, 'PositionLat': 24.48106, 'GeoHash': 'wsmgk2xst'}",97.0,341.0,2,0,1,2023-07-14T00:28:07+08:00,2023-07-14T00:28:07+08:00,2023-07-14T00:28:07+08:00,2023-07-14T00:28:09+08:00
255-U5,45,1101,THB1819,1819,"{'Zh_tw': '1819', 'En': '1819'}",THB181902,181902,"{'Zh_tw': '1819', 'En': '1819'}",1,"{'PositionLon': 121.232261666667, 'PositionLat': 25.07839, 'GeoHash': 'wsqnwtqsh'}",0.0,0.0,1,0,1,2023-07-14T00:28:05+08:00,2023-07-14T00:28:05+08:00,2023-07-14T00:28:05+08:00,2023-07-14T00:28:09+08:00
305-U5,45,1101,THB1841,1841,"{'Zh_tw': '1841', 'En': '1841'}",THB184101,184101,"{'Zh_tw': '1841', 'En': '1841'}",0,"{'PositionLon': 121.267333333333, 'PositionLat': 25.0623983333333, 'GeoHash': 'wsqnxd2pj'}",3.0,0.0,1,0,1,2023-07-14T00:28:05+08:00,2023-07-14T00:28:04+08:00,2023-07-14T00:28:04+08:00,2023-07-14T00:28:09+08:00
362-U6,34,1201,THB1625,1625,"{'Zh_tw': '1625', 'En': '1625'}",THB1625B2,1625B2,"{'Zh_tw': '1625B', 'En': '1625B'}",1,"{'PositionLon': 120.216, 'PositionLat': 23.0192033333333, 'GeoHash': 'wsj6zwd8e'}",0.0,37.0,0,0,1,2023-07-14T00:28:06+08:00,2023-07-14T00:28:06+08:00,2023-07-14T00:28:06+08:00,2023-07-14T00:28:09+08:00
383-FQ,35,1308,THB1915,1915,"{'Zh_tw': '1915', 'En': '1915'}",THB191502,191502,"{'Zh_tw': '1915', 'En': '1915'}",1,"{'PositionLon': 121.783565, 'PositionLat': 24.8358483333333, 'GeoHash': 'wsqt730p6'}",23.0,247.0,1,0,1,2023-07-14T00:28:08+08:00,2023-07-14T00:28:08+08:00,2023-07-14T00:28:08+08:00,2023-07-14T00:28:09+08:00
385-FL,35,1308,THB1916,1916,"{'Zh_tw': '1916', 'En': '1916'}",THB191601,191601,"{'Zh_tw': '1916', 'En': '1916'}",0,"{'PositionLon': 121.450956666667, 'PositionLat': 24.9974833333333, 'GeoHash': 'wsqq5wtuu'}",0.0,209.0,2,0,1,2023-07-14T00:28:07+08:00,2023-07-14T00:28:07+08:00,2023-07-14T00:28:07+08:00,2023-07-14T00:28:09+08:00
456-U5,34,1201,THB1625,1625,"{'Zh_tw': '1625', 'En': '1625'}",THB1625A2,1625A2,"{'Zh_tw': '1625A', 'En': '1625A'}",1,"{'PositionLon': 120.684466666667, 'PositionLat': 24.137025, 'GeoHash': 'wsmc64p8r'}",0.0,14.0,0,0,1,2023-07-14T00:28:02+08:00,2023-07-14T00:28:04+08:00,2023-07-14T00:28:04+08:00,2023-07-14T00:28:09+08:00
520-U6,34,1201,THB1610,1610,"{'Zh_tw': '1610', 'En': '1610'}",THB1610A1,1610A1,"{'Zh_tw': '1610A', 'En': '1610A'}",0,"{'PositionLon': 120.234421666667, 'PositionLat': 23.175945, 'GeoHash': 'wsjeb5019'}",94.0,190.0,0,0,1,2023-07-14T00:28:04+08:00,2023-07-14T00:28:04+08:00,2023-07-14T00:28:04+08:00,2023-07-14T00:28:09+08:00
523-U6,34,1201,THB1610,1610,"{'Zh_tw': '1610', 'En': '1610'}",THB1610B2,1610B2,"{'Zh_tw': '1610B', 'En': '1610B'}",1,"{'PositionLon': 120.275211666667, 'PositionLat': 22.887275, 'GeoHash': 'wsjd0yt8p'}",96.0,333.0,0,0,1,2023-07-14T00:28:03+08:00,2023-07-14T00:28:04+08:00,2023-07-14T00:28:04+08:00,2023-07-14T00:28:09+08:00
527-U6,34,1201,THB1610,1610,"{'Zh_tw': '1610', 'En': '1610'}",THB1610A1,1610A1,"{'Zh_tw': '1610A', 'En': '1610A'}",0,"{'PositionLon': 120.486851666667, 'PositionLat': 23.8586566666667, 'GeoHash': 'wsjxtxrfe'}",94.0,195.0,0,0,1,2023-07-14T00:28:07+08:00,2023-07-14T00:28:08+08:00,2023-07-14T00:28:08+08:00,2023-07-14T00:28:09+08:00
576-U6,34,1201,THB1620,1620,"{'Zh_tw': '1620', 'En': '1620'}",THB1620B1,1620B1,"{'Zh_tw': '1620B', 'En': '1620B'}",0,"{'PositionLon': 121.10016, 'PositionLat': 24.89121, 'GeoHash': 'wsqjeeq3y'}",94.0,245.0,0,0,1,2023-07-14T00:28:03+08:00,2023-07-14T00:28:04+08:00,2023-07-14T00:28:04+08:00,2023-07-14T00:28:09+08:00
588-U6,45,1101,THB1877,1877,"{'Zh_tw': '1877', 'En': '1877'}",THB187702,187702,"{'Zh_tw': '1877', 'En': '1877'}",1,"{'PositionLon': 121.437831666667, 'PositionLat': 25.0865433333333, 'GeoHash': 'wsqqequ7d'}",0.0,0.0,0,0,1,2023-07-14T00:28:07+08:00,2023-07-14T00:28:07+08:00,2023-07-14T00:28:07+08:00,2023-07-14T00:28:09+08:00
596-U9,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500F2,7500F2,"{'Zh_tw': '7500F', 'En': '7500F'}",1,"{'PositionLon': 120.42873, 'PositionLat': 23.58206, 'GeoHash': 'wsjwhkvx2'}",96.0,204.0,1,0,1,2023-07-14T00:28:04+08:00,2023-07-14T00:28:06+08:00,2023-07-14T00:28:06+08:00,2023-07-14T00:28:09+08:00
640-FW,45,1101,THB1834,1834,"{'Zh_tw': '1834', 'En': '1834'}",THB183401,183401,"{'Zh_tw': '1834', 'En': '1834'}",0,"{'PositionLon': 120.43664, 'PositionLat': 23.6101066666667, 'GeoHash': 'wsjwkd56c'}",105.0,188.0,1,0,1,2023-07-14T00:28:03+08:00,2023-07-14T00:28:04+08:00,2023-07-14T00:28:05+08:00,2023-07-14T00:28:09+08:00
691-U9,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500V1,7500V1,"{'Zh_tw': '7500V', 'En': '7500V'}",0,"{'PositionLon': 121.5147, 'PositionLat': 25.04698, 'GeoHash': 'wsqqmpsm1'}",0.0,74.0,1,0,1,2023-07-14T00:28:03+08:00,2023-07-14T00:28:05+08:00,2023-07-14T00:28:05+08:00,2023-07-14T00:28:09+08:00
703-U9,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500F2,7500F2,"{'Zh_tw': '7500F', 'En': '7500F'}",1,"{'PositionLon': 120.7406, 'PositionLat': 24.36323, 'GeoHash': 'wsmfee0w5'}",94.0,218.0,1,0,1,2023-07-14T00:28:03+08:00,2023-07-14T00:28:05+08:00,2023-07-14T00:28:05+08:00,2023-07-14T00:28:09+08:00
721-FW,45,1101,THB1815,1815,"{'Zh_tw': '1815', 'En': '1815'}",THB181502,181502,"{'Zh_tw': '1815', 'En': '1815'}",1,"{'PositionLon': 121.643951666667, 'PositionLat': 25.21345, 'GeoHash': 'wsqx2jfqv'}",0.0,0.0,2,0,1,2023-07-14T00:28:05+08:00,2023-07-14T00:28:05+08:00,2023-07-14T00:28:05+08:00,2023-07-14T00:28:09+08:00
