PlateNumb,OperatorID,OperatorNo,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopUID,StopID,StopName,StopSequence,MessageType,DutyStatus,BusStatus,A2EventType,GPSTime,SrcRecTime,SrcTransTime,UpdateTime
KKB-8707,45,1101,THB1873,1873,"{'Zh_tw': '1873', 'En': '1873'}",THB187302,187302,"{'Zh_tw': '1873', 'En': '1873'}",1,THB270337,270337,"{'Zh_tw': '臺中州廳', 'En': 'Taichung Prefectural Hall'}",17,2,1,0,0,2023-07-14T00:27:35+08:00,2023-07-14T00:27:35+08:00,2023-07-14T00:27:35+08:00,2023-07-14T00:27:39+08:00
551-U9,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500G2,7500G2,"{'Zh_tw': '7500G', 'En': '7500G'}",1,THB149213,149213,"{'Zh_tw': '麻豆站轉運站', 'En': 'Madou Station'}",4,2,1,0,1,2023-07-14T00:27:32+08:00,2023-07-14T00:27:32+08:00,2023-07-14T00:27:32+08:00,2023-07-14T00:27:34+08:00
KKA-2638,34,1201,THB1610,1610,"{'Zh_tw': '1610', 'En': '1610'}",THB1610E2,1610E2,"{'Zh_tw': '1610E', 'En': '1610E'}",1,THB267759,267759,"{'Zh_tw': '重陽站', 'En': 'Chongyang Station'}",8,2,0,0,0,2023-07-14T00:27:24+08:00,2023-07-14T00:27:24+08:00,2023-07-14T00:27:24+08:00,2023-07-14T00:27:29+08:00
FAB-160,34,1201,THB1619,1619,"{'Zh_tw': '1619', 'En': '1619'}",THB1619B1,1619B1,"{'Zh_tw': '1619B', 'En': '1619B'}",0,THB308282,308282,"{'Zh_tw': '臺中車站(民族路口)', 'En': 'Taichung Station(Minzu Intersection)'}",11,2,0,0,1,2023-07-14T00:27:20+08:00,2023-07-14T00:27:20+08:00,2023-07-14T00:27:20+08:00,2023-07-14T00:27:24+08:00
KKB-0179,47,1405,THB2011,2011,"{'Zh_tw': '2011', 'En': '2011'}",THB201101,201101,"{'Zh_tw': '2011', 'En': '2011'}",0,THB289793,289793,"{'Zh_tw': '臺北轉運站', 'En': 'Taipei Bus Station'}",1,2,0,0,1,2023-07-14T00:27:04+08:00,2023-07-14T00:27:05+08:00,2023-07-14T00:27:05+08:00,2023-07-14T00:27:09+08:00
FAB-281,45,1101,THB1819,1819,"{'Zh_tw': '1819', 'En': '1819'}",THB181901,181901,"{'Zh_tw': '1819', 'En': '1819'}",0,THB304583,304583,"{'Zh_tw': '桃園機場第一航廈', 'En': 'Taoyuan Airport  Terminal 1'}",4,2,1,0,1,2023-07-14T00:27:01+08:00,2023-07-14T00:27:01+08:00,2023-07-14T00:27:01+08:00,2023-07-14T00:27:04+08:00
KKB-1903,34,1201,THB1662,1662,"{'Zh_tw': '1662', 'En': '1662'}",THB166202,166202,"{'Zh_tw': '1662', 'En': '1662'}",1,THB303180,303180,"{'Zh_tw': '鎮三街口', 'En': 'Zhen third Street Intersection'}",15,2,0,0,0,2023-07-14T00:27:00+08:00,2023-07-14T00:27:00+08:00,2023-07-14T00:27:00+08:00,2023-07-14T00:27:04+08:00
FAB-311,34,1201,THB1611,1611,"{'Zh_tw': '1611', 'En': '1611'}",THB1611F1,1611F1,"{'Zh_tw': '1611F', 'En': '1611F'}",0,THB307544,307544,"{'Zh_tw': '新營轉運站', 'En': 'Sinying Bus Station'}",6,2,0,0,0,2023-07-14T00:26:51+08:00,2023-07-14T00:26:52+08:00,2023-07-14T00:26:52+08:00,2023-07-14T00:26:54+08:00
KKB-2183,49,0302,THB1961,1961,"{'Zh_tw': '1961', 'En': '1961'}",THB1961A2,1961A2,"{'Zh_tw': '1961A', 'En': '1961A'}",1,THB252178,252178,"{'Zh_tw': '大園農會', 'En': 'Dayuan'}",1,2,1,0,0,2023-07-14T00:26:52+08:00,2023-07-14T00:26:53+08:00,2023-07-14T00:26:53+08:00,2023-07-14T00:26:54+08:00
KKA-2572,34,1201,THB1621,1621,"{'Zh_tw': '1621', 'En': '1621'}",THB1621D1,1621D1,"{'Zh_tw': '1621D', 'En': '1621D'}",0,THB305496,305496,"{'Zh_tw': '大順三路口', 'En': 'Dashun 3 rd. Intersection'}",5,2,0,0,0,2023-07-14T00:26:47+08:00,2023-07-14T00:26:48+08:00,2023-07-14T00:26:48+08:00,2023-07-14T00:26:49+08:00
752-U9,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500V2,7500V2,"{'Zh_tw': '7500V', 'En': '7500V'}",1,THB149213,149213,"{'Zh_tw': '麻豆站轉運站', 'En': 'Madou Station'}",5,2,1,0,0,2023-07-14T00:26:18+08:00,2023-07-14T00:26:20+08:00,2023-07-14T00:26:20+08:00,2023-07-14T00:26:24+08:00
FAB-095,45,1101,THB1838,1838,"{'Zh_tw': '1838', 'En': '1838'}",THB183801,183801,"{'Zh_tw': '1838', 'En': '1838'}",0,THB268417,268417,"{'Zh_tw': '朝馬站(國光)', 'En': 'Chaoma Station (Kuokuang)'}",4,2,1,0,0,2023-07-14T00:26:15+08:00,2023-07-14T00:26:15+08:00,2023-07-14T00:26:15+08:00,2023-07-14T00:26:19+08:00
KKA-7792,25,0801,THB7512,7512,"{'Zh_tw': '7512', 'En': '7512'}",THB7512A2,7512A2,"{'Zh_tw': '7512A', 'En': '7512A'}",1,THB278272,278272,"{'Zh_tw': '中正站', 'En': 'JhongJheng Station'}",2,2,1,0,1,2023-07-14T00:26:14+08:00,2023-07-14T00:26:16+08:00,2023-07-14T00:26:16+08:00,2023-07-14T00:26:19+08:00
KKA-2607,34,1201,THB1611,1611,"{'Zh_tw': '1611', 'En': '1611'}",THB1611A1,1611A1,"{'Zh_tw': '1611A', 'En': '1611A'}",0,THB267760,267760,"{'Zh_tw': '重陽站', 'En': 'Chongyang Station'}",2,2,0,0,1,2023-07-14T00:25:58+08:00,2023-07-14T00:25:58+08:00,2023-07-14T00:25:58+08:00,2023-07-14T00:25:59+08:00
KKA-3190,34,1201,THB1612,1612,"{'Zh_tw': '1612', 'En': '1612'}",THB1612D1,1612D1,"{'Zh_tw': '1612D', 'En': '1612D'}",0,THB305161,305161,"{'Zh_tw': '新營轉運站', 'En': 'Sinying Bus Station'}",6,2,0,0,0,2023-07-14T00:25:52+08:00,2023-07-14T00:25:53+08:00,2023-07-14T00:25:53+08:00,2023-07-14T00:25:54+08:00
456-U5,34,1201,THB1625,1625,"{'Zh_tw': '1625', 'En': '1625'}",THB1625A2,1625A2,"{'Zh_tw': '1625A', 'En': '1625A'}",1,THB308282,308282,"{'Zh_tw': '臺中車站(民族路口)', 'En': 'Taichung Station(Minzu Intersection)'}",12,2,0,0,0,2023-07-14T00:25:47+08:00,2023-07-14T00:25:47+08:00,2023-07-14T00:25:47+08:00,2023-07-14T00:25:49+08:00
506-U5,34,1201,THB1619,1619,"{'Zh_tw': '1619', 'En': '1619'}",THB1619B1,1619B1,"{'Zh_tw': '1619B', 'En': '1619B'}",0,THB214914,214914,"{'Zh_tw': '何厝', 'En': 'Hecuo'}",6,2,0,0,0,2023-07-14T00:25:36+08:00,2023-07-14T00:25:37+08:00,2023-07-14T00:25:37+08:00,2023-07-14T00:25:39+08:00
KKA-7696,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500J2,7500J2,"{'Zh_tw': '7500J', 'En': '7500J'}",1,THB294043,294043,"{'Zh_tw': '新竹站', 'En': 'Hsinchu Station'}",3,2,1,0,0,2023-07-14T00:25:35+08:00,2023-07-14T00:25:36+08:00,2023-07-14T00:25:36+08:00,2023-07-14T00:25:39+08:00
KKB-2186,49,0302,THB1968,1968,"{'Zh_tw': '1968', 'En': '1968'}",THB196802,196802,"{'Zh_tw': '1968', 'En': '1968'}",1,THB290193,290193,"{'Zh_tw': '桃園機場第二航廈', 'En': 'Terminal 2'}",2,2,1,0,0,2023-07-14T00:25:36+08:00,2023-07-14T00:25:37+08:00,2023-07-14T00:25:37+08:00,2023-07-14T00:25:39+08:00
KKA-7198,23,1401,THB7211,7211,"{'Zh_tw': '7211', 'En': '7211'}",THB721101,721101,"{'Zh_tw': '7211', 'En': '7211'}",0,THB239953,239953,"{'Zh_tw': '嘉義公園', 'En': 'Chiayi Park'}",20,2,1,0,1,2023-07-14T00:25:32+08:00,2023-07-14T00:25:32+08:00,2023-07-14T00:25:32+08:00,2023-07-14T00:25:34+08:00
878-FX,34,1201,THB1616,1616,"{'Zh_tw': '1616', 'En': '1616'}",THB161601,161601,"{'Zh_tw': '1616', 'En': '1616'}",0,THB291182,291182,"{'Zh_tw': '員林轉運站', 'En': 'Yuanlin Bus Station'}",11,2,0,0,1,2023-07-14T00:25:27+08:00,2023-07-14T00:25:27+08:00,2023-07-14T00:25:27+08:00,2023-07-14T00:25:29+08:00
FAB-312,34,1201,THB1625,1625,"{'Zh_tw': '1625', 'En': '1625'}",THB1625B1,1625B1,"{'Zh_tw': '1625B', 'En': '1625B'}",0,THB267922,267922,"{'Zh_tw': '延平市場', 'En': 'Yanping Market'}",6,2,0,0,0,2023-07-14T00:25:27+08:00,2023-07-14T00:25:28+08:00,2023-07-14T00:25:28+08:00,2023-07-14T00:25:29+08:00
232-U5,45,1101,THB1815,1815,"{'Zh_tw': '1815', 'En': '1815'}",THB181501,181501,"{'Zh_tw': '1815', 'En': '1815'}",0,THB269906,269906,"{'Zh_tw': '金青中心', 'En': 'Jinshan Youth Activity Centre'}",59,2,1,0,1,2023-07-14T00:25:21+08:00,2023-07-14T00:25:21+08:00,2023-07-14T00:25:21+08:00,2023-07-14T00:25:24+08:00
KKA-1331,34,1201,THB1610,1610,"{'Zh_tw': '1610', 'En': '1610'}",THB1610B2,1610B2,"{'Zh_tw': '1610B', 'En': '1610B'}",1,THB289792,289792,"{'Zh_tw': '臺北轉運站', 'En': 'Taipei Bus Station'}",8,2,0,0,1,2023-07-14T00:25:14+08:00,2023-07-14T00:25:14+08:00,2023-07-14T00:25:14+08:00,2023-07-14T00:25:19+08:00
KKA-7627,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500F1,7500F1,"{'Zh_tw': '7500F', 'En': '7500F'}",0,THB189257,189257,"{'Zh_tw': '三重站', 'En': 'Sanzhong Station'}",5,2,1,0,0,2023-07-14T00:25:17+08:00,2023-07-14T00:25:18+08:00,2023-07-14T00:25:18+08:00,2023-07-14T00:25:19+08:00
KKA-8285,34,1201,THB1623,1623,"{'Zh_tw': '1623', 'En': '1623'}",THB162302,162302,"{'Zh_tw': '1623', 'En': '1623'}",1,THB266159,266159,"{'Zh_tw': '何厝站', 'En': 'Hecuo Station'}",5,2,0,0,0,2023-07-14T00:25:14+08:00,2023-07-14T00:25:15+08:00,2023-07-14T00:25:15+08:00,2023-07-14T00:25:19+08:00
KKB-1971,34,1201,THB1610,1610,"{'Zh_tw': '1610', 'En': '1610'}",THB1610A1,1610A1,"{'Zh_tw': '1610A', 'En': '1610A'}",0,THB268482,268482,"{'Zh_tw': '楠梓站', 'En': 'Nanzi'}",8,2,0,0,0,2023-07-14T00:25:09+08:00,2023-07-14T00:25:10+08:00,2023-07-14T00:25:10+08:00,2023-07-14T00:25:14+08:00
KKA-7713,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500J1,7500J1,"{'Zh_tw': '7500J', 'En': '7500J'}",0,THB289798,289798,"{'Zh_tw': '臺北轉運站', 'En': 'Taipei Bus Station'}",4,2,1,0,1,2023-07-14T00:25:04+08:00,2023-07-14T00:25:04+08:00,2023-07-14T00:25:04+08:00,2023-07-14T00:25:09+08:00
747-FN,39,0913,THB1571,1571,"{'Zh_tw': '1571', 'En': '1571'}",THB157102,157102,"{'Zh_tw': '1571', 'En': '1571'}",1,THB257959,257959,"{'Zh_tw': '宜蘭轉運站', 'En': 'Yilan Transfer Station'}",3,2,1,0,1,2023-07-14T00:24:59+08:00,2023-07-14T00:25:00+08:00,2023-07-14T00:25:00+08:00,2023-07-14T00:25:04+08:00
796-U9,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500V1,7500V1,"{'Zh_tw': '7500V', 'En': '7500V'}",0,THB149213,149213,"{'Zh_tw': '麻豆站轉運站', 'En': 'Madou Station'}",3,2,1,0,0,2023-07-14T00:24:55+08:00,2023-07-14T00:24:55+08:00,2023-07-14T00:24:55+08:00,2023-07-14T00:24:59+08:00
KKA-2681,34,1201,THB1628,1628,"{'Zh_tw': '1628', 'En': '1628'}",THB1628B1,1628B1,"{'Zh_tw': '1628B', 'En': '1628B'}",0,THB267576,267576,"{'Zh_tw': '麻豆轉運站', 'En': 'Madou Bus Station'}",7,2,0,0,0,2023-07-14T00:24:57+08:00,2023-07-14T00:24:57+08:00,2023-07-14T00:24:57+08:00,2023-07-14T00:24:59+08:00
FAC-369,35,1308,THB1915,1915,"{'Zh_tw': '1915', 'En': '1915'}",THB191502,191502,"{'Zh_tw': '1915', 'En': '1915'}",1,THB253737,253737,"{'Zh_tw': '宜蘭轉運站', 'En': 'Yilan Transfer Station'}",8,2,1,0,0,2023-07-14T00:24:43+08:00,2023-07-14T00:24:44+08:00,2023-07-14T00:24:44+08:00,2023-07-14T00:24:49+08:00
765-FS,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500I2,7500I2,"{'Zh_tw': '7500I', 'En': '7500I'}",1,THB303140,303140,"{'Zh_tw': '經國轉運站', 'En': 'Jing Guo Bus Station'}",3,2,1,0,0,2023-07-14T00:24:11+08:00,2023-07-14T00:24:12+08:00,2023-07-14T00:24:12+08:00,2023-07-14T00:24:14+08:00
FAC-531,35,1308,THB1917,1917,"{'Zh_tw': '1917', 'En': '1917'}",THB191702,191702,"{'Zh_tw': '1917', 'En': '1917'}",1,THB293768,293768,"{'Zh_tw': '五結', 'En': 'Wu Jie'}",4,2,1,0,0,2023-07-14T00:24:01+08:00,2023-07-14T00:24:02+08:00,2023-07-14T00:24:02+08:00,2023-07-14T00:24:04+08:00
KKA-1817,34,1201,THB9026,9026,"{'Zh_tw': '9026', 'En': '9026'}",THB902602,902602,"{'Zh_tw': '9026', 'En': '9026'}",1,THB257430,257430,"{'Zh_tw': '基隆市界', 'En': 'Keelung community'}",29,2,0,0,1,2023-07-14T00:23:45+08:00,2023-07-14T00:23:45+08:00,2023-07-14T00:23:45+08:00,2023-07-14T00:23:49+08:00
KKA-2623,34,1201,THB1611,1611,"{'Zh_tw': '1611', 'En': '1611'}",THB1611F2,1611F2,"{'Zh_tw': '1611F', 'En': '1611F'}",1,THB289792,289792,"{'Zh_tw': '臺北轉運站', 'En': 'Taipei Bus Station'}",8,2,0,0,1,2023-07-14T00:23:31+08:00,2023-07-14T00:23:31+08:00,2023-07-14T00:23:31+08:00,2023-07-14T00:23:34+08:00
KKA-7776,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500F1,7500F1,"{'Zh_tw': '7500F', 'En': '7500F'}",0,THB308538,308538,"{'Zh_tw': '永康臨時轉運站', 'En': 'Yongkang Temporary Bus Station'}",2,2,1,0,0,2023-07-14T00:23:30+08:00,2023-07-14T00:23:30+08:00,2023-07-14T00:23:30+08:00,2023-07-14T00:23:34+08:00
KKA-7803,25,0801,THB7500,7500,"{'Zh_tw': '7500', 'En': '7500'}",THB7500I1,7500I1,"{'Zh_tw': '7500I', 'En': '7500I'}",0,THB178344,178344,"{'Zh_tw': '新營站', 'En': 'Xinying Station'}",1,2,1,0,0,2023-07-14T00:23:10+08:00,2023-07-14T00:23:12+08:00,2023-07-14T00:23:12+08:00,2023-07-14T00:23:14+08:00
293-FS,39,0913,THB1570,1570,"{'Zh_tw': '1570', 'En': '1570'}",THB157002,157002,"{'Zh_tw': '1570', 'En': '1570'}",1,THB293152,293152,"{'Zh_tw': '五結', 'En': 'Wu Jie'}",2,2,1,0,0,2023-07-14T00:22:59+08:00,2023-07-14T00:23:00+08:00,2023-07-14T00:23:00+08:00,2023-07-14T00:23:04+08:00
356-U5,34,1201,THB1623,1623,"{'Zh_tw': '1623', 'En': '1623'}",THB162302,162302,"{'Zh_tw': '1623', 'En': '1623'}",1,THB293244,293244,"{'Zh_tw': '桃園機場第一航廈', 'En': 'Taoyuan Airport  Terminal 1'}",1,2,1,0,1,2023-07-14T00:22:53+08:00,2023-07-14T00:22:54+08:00,2023-07-14T00:22:54+08:00,2023-07-14T00:22:59+08:00
KKA-0015,34,1201,THB1623,1623,"{'Zh_tw': '1623', 'En': '1623'}",THB162301,162301,"{'Zh_tw': '1623', 'En': '1623'}",0,THB266318,266318,"{'Zh_tw': '朝馬站', 'En': 'Chaoma Station'}",4,2,0,0,1,2023-07-14T00:22:21+08:00,2023-07-14T00:22:21+08:00,2023-07-14T00:22:21+08:00,2023-07-14T00:22:24+08:00
051-U7,45,1101,THB1813,1813,"{'Zh_tw': '1813', 'En': '1813'}",THB1813I1,1813I1,"{'Zh_tw': '1813I', 'En': '1813I'}",0,THB303408,303408,"{'Zh_tw': '基隆火車站(海洋廣場)', 'En': 'TRA Keelung Station(Maritime Plaza)'}",2,2,1,0,1,2023-07-14T00:22:18+08:00,2023-07-14T00:22:18+08:00,2023-07-14T00:22:18+08:00,2023-07-14T00:22:19+08:00
FAB-166,45,1101,THB1816,1816,"{'Zh_tw': '1816', 'En': '1816'}",THB181601,181601,"{'Zh_tw': '1816', 'En': '1816'}",0,THB302624,302624,"{'Zh_tw': '建國路', 'En': 'Jianguo Road'}",20,2,1,0,0,2023-07-14T00:22:04+08:00,2023-07-14T00:22:03+08:00,2023-07-14T00:22:03+08:00,2023-07-14T00:22:04+08:00
897-FU,45,1101,THB1837,1837,"{'Zh_tw': '1837', 'En': '1837'}",THB183701,183701,"{'Zh_tw': '1837', 'En': '1837'}",0,THB268417,268417,"{'Zh_tw': '朝馬站(國光)', 'En': 'Chaoma Station (Kuokuang)'}",4,2,1,0,0,2023-07-14T00:21:47+08:00,2023-07-14T00:21:48+08:00,2023-07-14T00:21:48+08:00,2023-07-14T00:21:49+08:00
KKB-8711,45,1101,THB1838,1838,"{'Zh_tw': '1838', 'En': '1838'}",THB1838B1,1838B1,"{'Zh_tw': '1838B', 'En': '1838B'}",0,THB270311,270311,"{'Zh_tw': '楠梓站', 'En': 'Nanzi Station'}",4,2,1,0,0,2023-07-14T00:21:45+08:00,2023-07-14T00:21:45+08:00,2023-07-14T00:21:45+08:00,2023-07-14T00:21:49+08:00
573-U6,34,1201,THB1610,1610,"{'Zh_tw': '1610', 'En': '1610'}",THB1610B1,1610B1,"{'Zh_tw': '1610B', 'En': '1610B'}",0,THB267760,267760,"{'Zh_tw': '重陽站', 'En': 'Chongyang Station'}",2,2,0,0,0,2023-07-14T00:21:42+08:00,2023-07-14T00:21:43+08:00,2023-07-14T00:21:43+08:00,2023-07-14T00:21:44+08:00
455-U5,34,1201,THB1619,1619,"{'Zh_tw': '1619', 'En': '1619'}",THB1619B2,1619B2,"{'Zh_tw': '1619B', 'En': '1619B'}",1,THB289792,289792,"{'Zh_tw': '臺北轉運站', 'En': 'Taipei Bus Station'}",10,2,0,0,1,2023-07-14T00:21:34+08:00,2023-07-14T00:21:36+08:00,2023-07-14T00:21:36+08:00,2023-07-14T00:21:39+08:00
KKA-9891,39,0913,THB1579,1579,"{'Zh_tw': '1579', 'En': '1579'}",THB1579A2,1579A2,"{'Zh_tw': '1579A', 'En': '1579A'}",1,THB303576,303576,"{'Zh_tw': '八斗子車站', 'En': 'TRA Badouzi Station'}",27,2,0,0,0,2023-07-14T00:21:36+08:00,2023-07-14T00:21:37+08:00,2023-07-14T00:21:37+08:00,2023-07-14T00:21:39+08:00
KKA-9886,39,0913,THB1579,1579,"{'Zh_tw': '1579', 'En': '1579'}",THB157902,157902,"{'Zh_tw': '1579', 'En': '1579'}",1,THB303576,303576,"{'Zh_tw': '八斗子車站', 'En': 'TRA Badouzi Station'}",25,2,0,0,0,2023-07-14T00:21:31+08:00,2023-07-14T00:21:32+08:00,2023-07-14T00:21:32+08:00,2023-07-14T00:21:34+08:00
KKA-8155,34,1201,THB1621,1621,"{'Zh_tw': '1621', 'En': '1621'}",THB1621E2,1621E2,"{'Zh_tw': '1621E', 'En': '1621E'}",1,THB289895,289895,"{'Zh_tw': '成功嶺', 'En': 'Chenggongling'}",5,2,0,0,0,2023-07-14T00:21:21+08:00,2023-07-14T00:21:22+08:00,2023-07-14T00:21:22+08:00,2023-07-14T00:21:24+08:00
363-U6,34,1201,THB1611,1611,"{'Zh_tw': '1611', 'En': '1611'}",THB1611E2,1611E2,"{'Zh_tw': '1611E', 'En': '1611E'}",1,THB308535,308535,"{'Zh_tw': '永康臨時轉運站', 'En': 'Yongkang Temporary Bus Station'}",2,2,0,0,0,2023-07-14T00:21:18+08:00,2023-07-14T00:21:18+08:00,2023-07-14T00:21:18+08:00,2023-07-14T00:21:19+08:00
362-U6,34,1201,THB1625,1625,"{'Zh_tw': '1625', 'En': '1625'}",THB1625B2,1625B2,"{'Zh_tw': '1625B', 'En': '1625B'}",1,THB303927,303927,"{'Zh_tw': '臺南轉運站', 'En': 'Tainan Bus Station'}",1,2,0,0,0,2023-07-14T00:21:11+08:00,2023-07-14T00:21:11+08:00,2023-07-14T00:21:11+08:00,2023-07-14T00:21:14+08:00
