RouteName,AuthorityName,CityCode,City,Town,RoadSectionStart,RoadSectionEnd,Direction,CyclingLength,FinishedTime,UpdateTime,Geometry
大林後車站週邊自行車道,大林鎮公所,CYQ,嘉義縣,大林鎮,後火車站,榮林路橋,雙向,370.0,980218,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.455539001012 23.6001619978763,120.453242997461 23.5979010043912))"
大林自行車道,嘉義縣文化觀光局,CYQ,嘉義縣,大林鎮,大林糖廠,三角里,8000.0,980218,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.455970995497 23.6124609981799,120.455811001346 23.6118390007032,120.455581996528 23.6110379989784,120.455306997833 23.6099830000503,120.455307002786 23.6099320000081,120.455330004813 23.6098980024143,120.455604996336 23.6094860001042,120.455619999922 23.6093409987069,120.45555100405 23.6092010032104,120.455353000949 23.6088099974555,120.455299004403 23.6085949991246,120.455269000327 23.6081299967918,120.455230996587 23.6077750029913,120.455787999092 23.6065559975447,120.45592500416 23.6063479986036,120.458115004129 23.6067450027645,120.458603000024 23.6068650041159,120.458778001383 23.6069530043005,120.459122000239 23.6072240033625,120.460814995399 23.6091670020757,120.461258001971 23.6096689965514,120.461411000275 23.6098840023294,120.461510002911 23.610101999149,120.460334999868 23.610750003104,120.459517995515 23.6112040033526,120.459366004239 23.6113339992524,120.459290002092 23.6113910012706,120.457198998882 23.6124129967004,120.456290997234 23.6128690000347,120.456184003456 23.6128770048491,120.456123003572 23.612860004824,120.456062004289 23.6127929980047,120.455985998302 23.6124990028122,120.455115999878 23.6126999967323,120.455275999745 23.6135690036973,120.455254004783 23.6138309969799,120.454681002614 23.6144790006091,120.453537001141 23.6151910002151,120.453399997118 23.6154309980479,120.453048997999 23.615841003347,120.452881002301 23.6162400046177,120.452789000311 23.6189709973097,120.452690001937 23.6189710003812,120.452660004594 23.6219410020775,120.452727997692 23.6219409980749,120.45276600231 23.622210001607,120.452957002418 23.6227089992261,120.453430001817 23.6232110037555,120.453934000483 23.623488997847,120.455230999564 23.6240199994392,120.455405998039 23.6241609990696,120.467658996828 23.6292989967011,120.468970996526 23.629801004856,120.469322004297 23.6298409976825,120.472022996392 23.6298199994976,120.4725879953 23.629681002954,120.47296099656 23.6294590008969,120.473183001329 23.6292900046057,120.473449997227 23.6289599976737,120.476348995626 23.6236310010953,120.476692004032 23.6231500050746,120.477057996596 23.6228010014895,120.477592004262 23.6224710014781,120.4778290006 23.6223600016251,120.478760003589 23.622150002023,120.489349002727 23.6217990044052,120.489791995463 23.6218299978831,120.497451998727 23.624519004394,120.49813100489 23.6245499979545,120.498511998827 23.6244790005125,120.499038996588 23.6248000048947,120.499969002244 23.6257190037288,120.500237001461 23.6261900027054,120.500328002327 23.6264500013121))"
大林自行車道(義和段),大林鎮公所,CYQ,嘉義縣,大林鎮,三村里,義和里,雙向,1000.0,1021123,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.477050999741 23.6118219978853,120.477120002713 23.6125740042358,120.477179000192 23.6133460048334,120.477260002968 23.6142699963474,120.477281000314 23.615011998296,120.477345999487 23.6158130043957,120.477457995378 23.6169930035949,120.477565995638 23.6181529972071,120.477705000359 23.6198530027709,120.476364001057 23.6199419961903,120.479486003487 23.622104003206))"
大柳林自行車道,嘉義縣水上鄉公所,CYQ,嘉義縣,水上鄉,嘉42-1,柳新村凌雲社區活動中心旁,單向,2800.0,1080715,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.419198004119 23.4411799965861,120.417785997939 23.440924002842,120.417603995893 23.4409440023867,120.416965004073 23.4408059967793,120.41647099597 23.4406449986862,120.416149004365 23.4404559996629,120.415834997168 23.4402719963155,120.415559999246 23.4400170007846,120.415067001693 23.4393940048925,120.414852002374 23.4391069961725,120.413366996592 23.4371180033375,120.412647003344 23.4360550042299,120.4120629996 23.4352909976928,120.411865000207 23.4350000035416,120.411658995439 23.4349370022633,120.411676996754 23.4347790015238,120.409394995215 23.4316770006476),(120.41363899802 23.4488570049593,120.415732996222 23.4479359983412,120.416926004597 23.4473850039389,120.41710600287 23.4471880027571,120.41720000058 23.4461880031422,120.417621004768 23.4410870002842))"
太保市後潭稻香柳綠,太保市公所,CYQ,嘉義縣,太保市,太保市後潭里縣道167,水上鄉大崙村嘉39鄉道,雙向,1200.0,1060115,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.340998175305 23.4488175725105,120.34188330334 23.4484484668894,120.342449920879 23.4482423841056,120.342823418399 23.4480559837732,120.342969597826 23.4482737572747,120.343265977826 23.4480387577869,120.343090295966 23.4477643879095,120.344863232416 23.446708733308,120.346228480907 23.4459286744967,120.347714422965 23.4449197593618,120.350933073554 23.4430495648497))"
太保市自行車道(太保國中-嘉168),嘉義縣太保市公所,CYQ,嘉義縣,太保市,太保國中,嘉168,雙向,350.0,980715,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.331320761323 23.4566522098966,120.331578256061 23.4563372616349,120.331814288809 23.4559632474333,120.332307814083 23.4557467219629,120.332736970808 23.4554120808238,120.333638188169 23.4549199620571,120.334625240917 23.4542900571481))"
太保市自行車道(過溝站-田尾站),嘉義縣太保市公所,CYQ,嘉義縣,太保市,麻太路,嘉56,雙向,4400.0,980715,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.359559061506 23.4953264684288,120.352263452173 23.4981995268048,120.34466743148 23.5015054310104,120.337629318575 23.5013873635853,120.333294871765 23.5011118697283,120.33011913274 23.5002853986495,120.327243802751 23.4981601679222,120.323681829449 23.4956019735966))"
小慷一路(東側),嘉義縣政府建設處,CYQ,嘉義縣,太保市,嘉朴路西段,故宮大道,雙向,900.0,931115,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.282683001389 23.4619239976535,120.283142995914 23.4644929995186,120.283837004591 23.4681910030724,120.284096000156 23.4698599983496))"
小慷一路(西側),嘉義縣政府建設處,CYQ,嘉義縣,太保市,嘉朴路西段,故宮大道,雙向,900.0,931115,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.282392998814 23.4619680019976,120.282852996624 23.4645390001774,120.283546999405 23.4682330046541,120.283806004561 23.4699049982416))"
布袋海風長堤自行車道,交通部觀光局雲嘉南濱海國家風景區管理處,CYQ,嘉義縣,布袋鎮,順安路與布新橋交會處,新南一街至海興街南端(安檢所),1000.0,1050906,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.152288674072 23.376487624463,120.153868499114 23.3764999346966,120.154989661101 23.3765319466607))"
故宮大道(南側),嘉義縣政府建設處,CYQ,嘉義縣,太保市,小榔五路,博學路,雙向,1790.0,931101,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.281706001221 23.4703070040704,120.282415002976 23.4701820011804,120.283801002556 23.4699050023584,120.283948002845 23.4698860016637,120.28409000412 23.4698610002105,120.285667998525 23.4695879992332,120.285852000547 23.4695560008912,120.288087000372 23.4695470046445,120.288322998995 23.4695460049853,120.290722003153 23.4693289972957,120.300278998769 23.4684409977815))"
新港自行車道,嘉義縣新港鄉公所,CYQ,嘉義縣,新港鄉,新港,三間,單向,4200.0,920120,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.349742999483 23.5527089984617,120.350030000219 23.5525890014593,120.350356003521 23.5524629995463,120.350639996889 23.55229700055,120.350982995452 23.5519669969212,120.351488996474 23.551078002004,120.352845995163 23.5484989990138,120.354135996859 23.5460260020633,120.354299002915 23.5459400025048,120.354248001477 23.5457660048893,120.354263004636 23.5456360031361,120.354382995578 23.5453530041847,120.354812000304 23.5445270027086,120.354948997413 23.5442830008863,120.355240997841 23.5438499992396,120.355686995991 23.5434720027893,120.356150998789 23.5431169969422,120.357162997249 23.5424479978586,120.358856003513 23.5413729970002,120.360555997085 23.5403339983021,120.362052004103 23.5393869969451,120.372598998403 23.5318110041158,120.375704996528 23.5294199980633,120.378496004908 23.5273739976583,120.380641004328 23.5258629997388))"
新褔環潭鐵馬道,番路鄉公所,CYQ,嘉義縣,番路鄉,仁義潭,番路村萬善橋,單向,13100.0,1040315,2023-07-14T00:03:35+08:00,"MULTILINESTRING ((120.519988002011 23.4590949994497,120.519978002168 23.4590940024717,120.519989998795 23.4590949965636,120.51999300012 23.4590959990975,120.519960997677 23.4590919996703,120.519684002724 23.4590680032209,120.51883699801 23.4590250019708,120.518847002917 23.4590299993233,120.518862999591 23.4590399997094,120.518348997394 23.4588509961717,120.517266003314 23.458617004794,120.516076995883 23.4585530007842,120.514840996897 23.4585399964775,120.513536995876 23.4585469975211,120.51232299605 23.4585779998319,120.51096100406 23.458600004538,120.509372002966 23.4585409980131,120.508044002903 23.4583469966903,120.507862999771 23.4583529996374,120.5070799997 23.4584019985447,120.505602995222 23.4585119965446,120.504108004104 23.4586990032404,120.503412003866 23.4589870037588,120.503431000508 23.4590869989765,120.5034369998 23.4591160042967,120.503716004874 23.4596199972551,120.503485997185 23.4599750012598,120.503371001516 23.4600729987321,120.503354002098 23.4600879975817,120.503334 23.460105000554,120.503323995948 23.460112996351,120.503342995884 23.4600970015467,120.503347996781 23.4600919968018,120.503319997179 23.4601170019585,120.502835003281 23.4605300051182,120.502004000385 23.4610740019702,120.501067002517 23.4613889983421,120.500866999673 23.4621230008332,120.500808999106 23.4627360043827,120.500808999106 23.4627360043827,120.500781004758 23.4628139969397,120.500731001805 23.4629529977616,120.500431996038 23.4637750046869,120.500181995956 23.4646650010574,120.500790999779 23.465315005044,120.501245003969 23.465734003148,120.501599000356 23.4664919994496,120.502167004585 23.4669619992053,120.502760998741 23.4671010050952,120.502752995349 23.4671000043425,120.502742998811 23.4670980039383,120.502739997444 23.4670970010727,120.50272799711 23.4671699971807,120.503022003502 23.4671430046227,120.503926001585 23.4672050017899,120.504332004637 23.4679710044666,120.504599997772 23.4690680036234,120.503918998665 23.4699060048854,120.504441997341 23.4699590030353,120.505381998982 23.469810997173,120.506572999834 23.4699249988605,120.506913004052 23.4706240004047,120.507194995986 23.4714960035902,120.507983001871 23.4715539990504,120.508787998676 23.4715680049099,120.509243997155 23.4723550026136,120.509423998856 23.4735569969566,120.509850998847 23.4745940045264,120.510034995894 23.4756070043317,120.510181997317 23.4757169996585,120.511094998162 23.4758420044439,120.511930996861 23.4767070032562,120.512726002569 23.4773150031714,120.514370002325 23.4772509990967,120.516318998025 23.4771849984263,120.518219001075 23.4771230028568,120.519890001365 23.4769979993891,120.520799998225 23.4769300039323,120.521564998426 23.4764099964274,120.522080001668 23.475688997349,120.523227995502 23.475496001566,120.523877000173 23.4750889990208,120.523960001419 23.4742520019745,120.523950000302 23.4737190040697,120.524437003875 23.4728010034253,120.524393997469 23.4717229996021,120.524133997948 23.4704379985346,120.523686995991 23.4692760011834,120.524537002798 23.4686310005959,120.524693001688 23.4684740022004,120.524354004719 23.4678160011323,120.523556996882 23.4670599980569,120.52387599943 23.4660179997362,120.522929996657 23.465302001943,120.52266800003 23.4645060016077,120.522765996627 23.4632770039599,120.522762004435 23.4620840036343,120.522691998617 23.4608859972012,120.522165995208 23.4601279986204,120.521577997958 23.4598349972626,120.520648996556 23.4593569963117,120.520242999753 23.4591660010624,120.520048997587 23.4588929965674,120.521232000294 23.4581779976134,120.522044003071 23.4569579976105,120.522923997974 23.4560510000431,120.523582003697 23.4550509968519,120.52457299569 23.4549730024995,120.52536299993 23.4553999983752,120.525398997565 23.4554170030104,120.526295995747 23.455841998925,120.527937998096 23.4566410017951,120.529604998721 23.4574539962283,120.529945998822 23.4576210044788,120.530031004563 23.4575969969552,120.5302169988 23.4566749978283,120.530411003107 23.4557180040873,120.530928003012 23.455592001419,120.531846998363 23.4555050033475,120.532877004862 23.4554240030892,120.533623996999 23.4555430047738,120.534377004814 23.4556970031032,120.534362999113 23.4556939994621,120.534532004554 23.4557280050868,120.53519199824 23.4558630027749,120.535844998454 23.4559970016397,120.536434995197 23.4561170037185,120.53667000172 23.4561650009821,120.536727003792 23.4561769995631,120.537197996203 23.4562730047983,120.538106002072 23.4564529998501,120.539070004271 23.4565379968252,120.539832002083 23.4564400039964,120.540840996674 23.4563110030618,120.54221899589 23.4561529997351,120.543281004347 23.4560590033878,120.543650004127 23.4570029973548,120.544310998232 23.4578580039399,120.54427999979 23.4588190048826,120.544254002227 23.459609000899,120.544495004768 23.4598719995555,120.54574500373 23.4599039986393,120.547394004808 23.4601240039468,120.548950004142 23.4607299999856,120.550603000467 23.4612549989846,120.551704003144 23.4616100034768,120.551715001928 23.4608079979933,120.552581003243 23.4603740001972,120.552581001738 23.4599619965431,120.553186997903 23.4595929968943,120.554442003777 23.4590489968133,120.555548002779 23.4585700026156,120.556088000751 23.4585939977539,120.557064996804 23.4593579966959,120.558135997437 23.4601669996433,120.55863199901 23.4605960024833,120.558606997958 23.4605730045151),(120.519988002011 23.4590949994497,120.519978002168 23.4590940024717,120.519989998795 23.4590949965636,120.51999300012 23.4590959990975,120.519960997677 23.4590919996703,120.519684002724 23.4590680032209,120.51883699801 23.4590250019708,120.518847002917 23.4590299993233,120.518862999591 23.4590399997094,120.518348997394 23.4588509961717,120.517266003314 23.458617004794,120.516076995883 23.4585530007842,120.514840996897 23.4585399964775,120.513536995876 23.4585469975211,120.51232299605 23.4585779998319,120.51096100406 23.458600004538,120.509372002966 23.4585409980131,120.508044002903 23.4583469966903,120.507862999771 23.4583529996374,120.5070799997 23.4584019985447,120.505602995222 23.4585119965446,120.504108004104 23.4586990032404,120.503412003866 23.4589870037588,120.503431000508 23.4590869989765,120.5034369998 23.4591160042967,120.503716004874 23.4596199972551,120.503485997185 23.4599750012598,120.503371001516 23.4600729987321,120.503354002098 23.4600879975817,120.503334 23.460105000554,120.503323995948 23.460112996351,120.503342995884 23.4600970015467,120.503347996781 23.4600919968018,120.503319997179 23.4601170019585,120.502835003281 23.4605300051182,120.502004000385 23.4610740019702,120.501067002517 23.4613889983421,120.500866999673 23.4621230008332,120.500808999106 23.4627360043827,120.500808999106 23.4627360043827,120.500781004758 23.4628139969397,120.500731001805 23.4629529977616,120.500431996038 23.4637750046869,120.500181995956 23.4646650010574,120.500790999779 23.465315005044,120.501245003969 23.465734003148,120.501599000356 23.4664919994496,120.502167004585 23.4669619992053,120.502760998741 23.4671010050952,120.502752995349 23.4671000043425,120.502742998811 23.4670980039383,120.502739997444 23.4670970010727,120.50272799711 23.4671699971807,120.503022003502 23.4671430046227,120.503926001585 23.4672050017899,120.504332004637 23.4679710044666,120.504599997772 23.4690680036234,120.503918998665 23.4699060048854,120.504441997341 23.4699590030353,120.505381998982 23.469810997173,120.506572999834 23.4699249988605,120.506913004052 23.4706240004047,120.507194995986 23.4714960035902,120.507983001871 23.4715539990504,120.508787998676 23.4715680049099,120.509243997155 23.4723550026136,120.509423998856 23.4735569969566,120.509850998847 23.4745940045264,120.510034995894 23.4756070043317,120.510181997317 23.4757169996585,120.511094998162 23.4758420044439,120.511930996861 23.4767070032562,120.512726002569 23.4773150031714,120.514370002325 23.4772509990967,120.516318998025 23.4771849984263,120.518219001075 23.4771230028568,120.519890001365 23.4769979993891,120.520799998225 23.4769300039323,120.521564998426 23.4764099964274,120.522080001668 23.475688997349,120.523227995502 23.475496001566,120.523877000173 23.4750889990208,120.523960001419 23.4742520019745,120.523950000302 23.4737190040697,120.524437003875 23.4728010034253,120.524393997469 23.4717229996021,120.524133997948 23.4704379985346,120.523686995991 23.4692760011834,120.524537002798 23.4686310005959,120.524693001688 23.4684740022004,120.524354004719 23.4678160011323,120.523556996882 23.4670599980569,120.52387599943 23.4660179997362,120.522929996657 23.465302001943,120.52266800003 23.4645060016077,120.522765996627 23.4632770039599,120.522762004435 23.4620840036343,120.522691998617 23.4608859972012,120.522165995208 23.4601279986204,120.521577997958 23.4598349972626,120.520648996556 23.4593569963117,120.520242999753 23.4591660010624,120.520048997587 23.4588929965674,120.521232000294 23.4581779976134,120.522044003071 23.4569579976105,120.522923997974 23.4560510000431,120.523582003697 23.4550509968519,120.52457299569 23.4549730024995,120.52536299993 23.4553999983752,120.525398997565 23.4554170030104,120.526295995747 23.455841998925,120.527937998096 23.4566410017951,120.529604998721 23.4574539962283,120.529945998822 23.4576210044788,120.530031004563 23.4575969969552,120.5302169988 23.4566749978283,120.530411003107 23.4557180040873,120.530928003012 23.455592001419,120.531846998363 23.4555050033475,120.532877004862 23.4554240030892,120.533623996999 23.4555430047738,120.534377004814 23.4556970031032,120.534362999113 23.4556939994621,120.534532004554 23.4557280050868,120.53519199824 23.4558630027749,120.535844998454 23.4559970016397,120.536434995197 23.4561170037185,120.53667000172 23.4561650009821,120.536727003792 23.4561769995631,120.537197996203 23.4562730047983,120.538106002072 23.4564529998501,120.539070004271 23.4565379968252,120.539832002083 23.4564400039964,120.540840996674 23.4563110030618,120.54221899589 23.4561529997351,120.543281004347 23.4560590033878,120.543650004127 23.4570029973548,120.544310998232 23.4578580039399,120.54427999979 23.4588190048826,120.544254002227 23.459609000899,120.544495004768 23.4598719995555,120.54574500373 23.4599039986393,120.547394004808 23.4601240039468,120.548950004142 23.4607299999856,120.550603000467 23.4612549989846,120.551704003144 23.4616100034768,120.551715001928 23.4608079979933,120.552581003243 23.4603740001972,120.552581001738 23.4599619965431,120.553186997903 23.4595929968943,120.554442003777 23.4590489968133,120.555548002779 23.4585700026156,120.556088000751 23.4585939977539,120.557064996804 23.4593579966959,120.558135997437 23.4601669996433,120.55863199901 23.4605960024833,120.558606997958 23.4605730045151))"
