RoadName,CityList
台2甲,"[{'CityName': '新北市', 'City': 'NewTaipei'}, {'CityName': '臺北市', 'City': 'Taipei'}]"
台37,"[{'CityName': '嘉義縣', 'City': 'ChiayiCounty'}]"
台5,"[{'CityName': '臺北市', 'City': 'Taipei'}, {'CityName': '新北市', 'City': 'NewTaipei'}, {'CityName': '基隆市', 'City': 'Keelung'}]"
台8甲,"[{'CityName': '臺中市', 'City': 'Taichung'}]"
台9戊,"[{'CityName': '臺東縣', 'City': 'TaitungCounty'}, {'CityName': '屏東縣', 'City': 'PingtungCounty'}]"
台 9戊,"[{'CityName': '臺東縣', 'City': 'TaitungCounty'}, {'CityName': '屏東縣', 'City': 'PingtungCounty'}]"
台17甲,"[{'CityName': '高雄市', 'City': 'Kaohsiung'}, {'CityName': '臺南市', 'City': 'Tainan'}]"
台1戊,"[{'CityName': '高雄市', 'City': 'Kaohsiung'}]"
台20,"[{'CityName': '高雄市', 'City': 'Kaohsiung'}, {'CityName': '臺東縣', 'City': 'TaitungCounty'}, {'CityName': '臺南市', 'City': 'Tainan'}]"
台20甲,"[{'CityName': '臺東縣', 'City': 'TaitungCounty'}]"
台29,"[{'CityName': '高雄市', 'City': 'Kaohsiung'}]"
台7丁,"[{'CityName': '宜蘭縣', 'City': 'YilanCounty'}]"
台8,"[{'CityName': '花蓮縣', 'City': 'HualienCounty'}, {'CityName': '臺中市', 'City': 'Taichung'}, {'CityName': '南投縣', 'City': 'NantouCounty'}]"
台9,"[{'CityName': '宜蘭縣', 'City': 'YilanCounty'}, {'CityName': '花蓮縣', 'City': 'HualienCounty'}, {'CityName': '臺東縣', 'City': 'TaitungCounty'}, {'CityName': '臺北市', 'City': 'Taipei'}, {'CityName': '新北市', 'City': 'NewTaipei'}, {'CityName': '屏東縣', 'City': 'PingtungCounty'}]"
台10乙,"[{'CityName': '臺中市', 'City': 'Taichung'}]"
台11甲,"[{'CityName': '花蓮縣', 'City': 'HualienCounty'}]"
台14丙,"[{'CityName': '彰化縣', 'City': 'ChanghuaCounty'}]"
台6,"[{'CityName': '苗栗縣', 'City': 'MiaoliCounty'}]"
台1丁,"[{'CityName': '雲林縣', 'City': 'YunlinCounty'}]"
台2,"[{'CityName': '基隆市', 'City': 'Keelung'}, {'CityName': '新北市', 'City': 'NewTaipei'}, {'CityName': '宜蘭縣', 'City': 'YilanCounty'}]"
台28,"[{'CityName': '高雄市', 'City': 'Kaohsiung'}]"
台2乙,"[{'CityName': '臺北市', 'City': 'Taipei'}, {'CityName': '新北市', 'City': 'NewTaipei'}]"
台12,"[{'CityName': '臺中市', 'City': 'Taichung'}]"
台14丁,"[{'CityName': '南投縣', 'City': 'NantouCounty'}, {'CityName': '彰化縣', 'City': 'ChanghuaCounty'}]"
台17乙,"[{'CityName': '臺南市', 'City': 'Tainan'}]"
台27甲,"[{'CityName': '高雄市', 'City': 'Kaohsiung'}]"
台2己,"[{'CityName': '基隆市', 'City': 'Keelung'}]"
台31,"[{'CityName': '新竹縣', 'City': 'HsinchuCounty'}, {'CityName': '桃園市', 'City': 'Taoyuan'}]"
台3甲,"[{'CityName': '南投縣', 'City': 'NantouCounty'}]"
台7甲,"[{'CityName': '臺中市', 'City': 'Taichung'}, {'CityName': '宜蘭縣', 'City': 'YilanCounty'}]"
台14乙,"[{'CityName': '彰化縣', 'City': 'ChanghuaCounty'}, {'CityName': '南投縣', 'City': 'NantouCounty'}]"
台15甲,"[{'CityName': '桃園市', 'City': 'Taoyuan'}]"
台2丁,"[{'CityName': '新北市', 'City': 'NewTaipei'}, {'CityName': '基隆市', 'City': 'Keelung'}]"
台30,"[{'CityName': '臺東縣', 'City': 'TaitungCounty'}, {'CityName': '花蓮縣', 'City': 'HualienCounty'}]"
台3丙,"[{'CityName': '南投縣', 'City': 'NantouCounty'}]"
台 6,"[{'CityName': '苗栗縣', 'City': 'MiaoliCounty'}]"
台11,"[{'CityName': '花蓮縣', 'City': 'HualienCounty'}, {'CityName': '臺東縣', 'City': 'TaitungCounty'}]"
台10,"[{'CityName': '臺中市', 'City': 'Taichung'}]"
台1乙,"[{'CityName': '臺中市', 'City': 'Taichung'}]"
台1己,"[{'CityName': '苗栗縣', 'City': 'MiaoliCounty'}]"
台27,"[{'CityName': '高雄市', 'City': 'Kaohsiung'}, {'CityName': '屏東縣', 'City': 'PingtungCounty'}]"
台3乙,"[{'CityName': '桃園市', 'City': 'Taoyuan'}]"
台4,"[{'CityName': '桃園市', 'City': 'Taoyuan'}]"
台8臨37,"[{'CityName': '臺中市', 'City': 'Taichung'}]"
台9丁,"[{'CityName': '花蓮縣', 'City': 'HualienCounty'}, {'CityName': '宜蘭縣', 'City': 'YilanCounty'}]"
台9丙,"[{'CityName': '花蓮縣', 'City': 'HualienCounty'}]"
台 9丁,"[{'CityName': '宜蘭縣', 'City': 'YilanCounty'}, {'CityName': '花蓮縣', 'City': 'HualienCounty'}]"
台7丙,"[{'CityName': '宜蘭縣', 'City': 'YilanCounty'}]"
台11乙,"[{'CityName': '臺東縣', 'City': 'TaitungCounty'}]"
台22,"[{'CityName': '屏東縣', 'City': 'PingtungCounty'}, {'CityName': '高雄市', 'City': 'Kaohsiung'}]"
台20乙,"[{'CityName': '臺南市', 'City': 'Tainan'}]"
台24,"[{'CityName': '屏東縣', 'City': 'PingtungCounty'}]"
台9乙,"[{'CityName': '臺東縣', 'City': 'TaitungCounty'}]"
台13甲,"[{'CityName': '苗栗縣', 'City': 'MiaoliCounty'}]"
台16,"[{'CityName': '南投縣', 'City': 'NantouCounty'}]"
台21甲,"[{'CityName': '南投縣', 'City': 'NantouCounty'}]"
台2戊,"[{'CityName': '宜蘭縣', 'City': 'YilanCounty'}]"
台9甲,"[{'CityName': '新北市', 'City': 'NewTaipei'}]"
