日期,新北市,臺北市,桃園市,臺中市,臺南市,高雄市
109年 2月,16,28,50,182,18,125
109年 3月,16,28,50,182,18,123
109年 4月,10,28,50,182,18,123
109年 5月,16,28,50,182,18,123
109年 6月,10,32,50,182,18,123
109年 7月,20,32,50,182,18,123
109年 8月,20,32,50,182,18,123
109年 9月,20,32,50,193,9,111
109年 10月,20,32,50,197,18,111
109年 11月,20,32,50,197,18,111
109年 12月,40,48,50,197,18,111
110年,76,48,50,197,77,192
110年 1月,40,48,50,197,18,111
110年 2月,40,48,50,197,18,130
110年 3月,40,48,50,197,18,130
110年 4月,40,48,50,197,20,148
110年 5月,40,48,50,197,21,179
110年 6月,52,48,50,197,23,190
110年 7月,63,48,50,197,28,190
110年 8月,69,48,50,197,28,190
110年 9月,69,48,50,197,35,190
110年 10月,76,48,50,197,35,190
110年 11月,76,48,50,197,35,192
110年 12月,76,48,50,197,77,192
111年,136,336,43,241,57,209
111年 1月,76,70,50,197,77,192
111年 2月,76,118,50,220,50,194
111年 3月,76,123,50,229,50,195
111年 4月,76,168,50,240,50,190
111年 5月,76,173,50,240,51,190
111年 6月,86,198,50,240,51,190
111年 7月,97,271,50,240,51,190
111年 8月,97,296,50,240,51,196
111年 9月,97,336,50,240,51,196
111年 10月,106,336,50,240,42,196
111年 11月,116,336,50,240,42,199
111年 12月,136,336,43,241,57,209
112年(1月至4月),152,393,43,271,57,242
112年 1月,134,336,43,242,57,209
112年 2月,142,348,43,242,57,217
112年 3月,152,363,43,242,63,244
112年 4月,152,393,43,271,57,242
